t,o,c,h,l,s,v,Ticker,RSI
1652140800,2.848,2.9456,3.1504,2.8,ok,1125841.8125,BRQS,
1652227200,2.808,2.448,2.944,2.4016,ok,1765598.125,BRQS,
1652313600,2.1616,2.512,2.56,2.1616,ok,1928610.375,BRQS,
1652400000,2.64,2.592,2.7168,2.528,ok,1088640.8125,BRQS,
1652659200,2.7184,2.5104,2.7184,2.4016,ok,1174108.0625,BRQS,
1652745600,2.56,2.7856,2.8528,2.552,ok,1073786.9375,BRQS,
1652832000,3.336,3.0624,3.728,2.992,ok,6731572.0,BRQS,
1652918400,2.84,3.088,3.1856,2.84,ok,1507564.1875,BRQS,
1653004800,3.168,3.024,3.176,2.768,ok,979967.0625,BRQS,
1653264000,3.2016,3.0528,3.2048,2.9232,ok,1750348.3125,BRQS,
1653350400,3.0016,2.9472,3.28,2.8,ok,1194353.25,BRQS,
1653436800,2.8976,2.736,2.9392,2.72,ok,1035181.9375,BRQS,
1653523200,2.7648,2.744,2.832,2.6704,ok,575922.625,BRQS,
1653609600,2.8,2.7296,2.8208,2.72,ok,585855.8125,BRQS,43.76731301939058
1653955200,2.6928,2.7968,2.912,2.488,ok,891647.875,BRQS,45.86666666666666
1654041600,2.8016,2.7936,2.9008,2.72,ok,821010.375,BRQS,63.23529411764706
1654128000,3.0016,2.832,3.0224,2.8,ok,1366980.9375,BRQS,62.49999999999999
1654214400,2.808,2.7536,2.8288,2.7344,ok,460805.8125,BRQS,56.320400500625794
1654473600,2.7952,2.7488,2.8448,2.704,ok,810271.4375,BRQS,59.92010652463382
1654560000,2.736,2.6688,2.784,2.64,ok,869572.3125,BRQS,44.19713831478537
1654646400,2.704,2.664,2.7504,2.592,ok,785436.0,BRQS,22.87581699346407
1654732800,2.6544,2.744,4.68,2.5792,ok,13048627.5625,BRQS,28.194726166328593
1654819200,3.2704,3.2,3.5136,3.1232,ok,5323988.5,BRQS,57.45257452574527
1655078400,2.9344,3.3568,3.6208,2.9024,ok,2535475.0625,BRQS,61.613691931540345
1655164800,3.2784,2.9968,3.44,2.8912,ok,1246430.125,BRQS,51.58648925281473
1655251200,2.9936,2.936,3.0848,2.88,ok,697165.5,BRQS,57.07814269535673
1655337600,2.896,2.8736,2.9904,2.8,ok,930707.8125,BRQS,54.41657579062159
1655424000,2.8192,2.9424,2.9584,2.8192,ok,593777.1875,BRQS,56.9926393270242
1655769600,2.8944,2.8016,2.936,2.8016,ok,507345.0625,BRQS,50.150451354062184
1655856000,2.8144,2.88,2.9856,2.7376,ok,1026121.5625,BRQS,52.58620689655172
1655942400,2.88,2.9168,3.36,2.792,ok,2023660.875,BRQS,52.54074784276126
1656028800,2.9136,2.8432,3.04,2.8432,ok,1193266.4375,BRQS,52.69230769230769
1656288000,2.2,2.15,2.3495,2.06,ok,2756255.0,BRQS,37.272572691719084
1656374400,2.13,1.88,2.13,1.82,ok,2082305.0,BRQS,34.48709880427941
1656460800,1.81,1.83,1.83,1.65,ok,1772576.0,BRQS,33.88468078528365
1656547200,1.76,1.67,1.77,1.65,ok,939147.0,BRQS,29.869545659019337
1656633600,1.99,1.74,2.1,1.68,ok,47030490.0,BRQS,18.004908835904615
1656979200,1.68,1.68,1.77,1.6,ok,1940728.0,BRQS,11.625778103258867
1657065600,1.61,1.54,1.67,1.53,ok,1424190.0,BRQS,12.92752442996742
1657152000,1.56,1.56,1.583,1.5165,ok,1130293.0,BRQS,14.241164241164242
1657238400,1.57,1.63,1.73,1.52,ok,2259234.0,BRQS,17.80907020086974
1657497600,1.62,1.69,1.72,1.578,ok,1048178.0,BRQS,17.43291033908882
1657584000,1.66,1.66,1.69,1.61,ok,1242443.0,BRQS,18.49889624724061
1657670400,1.64,1.85,1.88,1.63,ok,2267996.0,BRQS,23.227282179247254
1657756800,1.84,1.76,1.85,1.68,ok,1640090.0,BRQS,20.740590853905303
1657843200,1.8,1.69,1.85,1.65,ok,3917003.0,BRQS,20.778430975065888
1658102400,1.65,1.54,1.66,1.52,ok,3183371.0,BRQS,28.67132867132868
1658188800,1.55,1.59,1.6,1.52,ok,1931980.0,BRQS,38.01652892561985
1658275200,1.55,1.6,1.64,1.52,ok,3031740.0,BRQS,40.17094017094018
1658361600,1.6,1.61,1.65,1.58,ok,1993671.0,BRQS,47.058823529411775
1658448000,1.59,1.52,1.59,1.47,ok,2663275.0,BRQS,39.42307692307693
1658707200,1.51,1.39,1.51,1.36,ok,3018525.0,BRQS,36.936936936936945
1658793600,1.36,1.2,1.36,1.14,ok,4093320.0,BRQS,35.344827586206904
1658880000,1.22,1.2,1.24,1.19,ok,1957357.0,BRQS,34.21052631578948
1658966400,1.17,1.13,1.18,1.08,ok,3775233.0,BRQS,28.070175438596493
1659052800,1.15,1.2,1.24,1.15,ok,3038357.0,BRQS,28.69565217391306
1659312000,1.17,1.15,1.17,1.1,ok,1486072.0,BRQS,28.20512820512822
1659398400,1.15,1.29,1.34,1.13,ok,7866011.0,BRQS,25.000000000000014
1659484800,1.33,1.39,1.4194,1.2,ok,7912472.0,BRQS,33.6283185840708
1659571200,1.33,1.27,1.45,1.26,ok,5569932.0,BRQS,32.203389830508485
1659657600,1.25,1.23,1.25,1.17,ok,6566264.0,BRQS,35.51401869158879
1659916800,1.25,1.23,1.32,1.21,ok,7202689.0,BRQS,32.35294117647058
1660003200,1.25,1.22,1.27,1.19,ok,3092908.0,BRQS,31.372549019607845
1660089600,1.22,1.22,1.33,1.1773,ok,4594443.0,BRQS,30.693069306930695
1660176000,1.22,1.38,1.4065,1.22,ok,5542703.0,BRQS,43.51851851851851
1660262400,1.39,1.38,1.4394,1.32,ok,2900434.0,BRQS,49.473684210526315
1660521600,1.34,1.35,1.4,1.3,ok,2346131.0,BRQS,59.49367088607596
1660608000,1.35,1.34,1.41,1.25,ok,3519376.0,BRQS,58.75000000000001
1660694400,1.34,1.35,1.375,1.275,ok,1881807.0,BRQS,64.86486486486488
1660780800,1.32,1.26,1.335,1.23,ok,2584477.0,BRQS,53.94736842105264
1660867200,1.22,1.19,1.2307,1.1744,ok,2233336.0,BRQS,52.56410256410257
1661126400,1.16,1.11,1.16,1.08,ok,1991051.0,BRQS,37.49999999999999
1661212800,1.11,1.19,1.2159,1.08,ok,2256133.0,BRQS,35.71428571428571
1661299200,1.17,1.19,1.21,1.14,ok,1387735.0,BRQS,43.103448275862064
1661385600,1.18,1.21,1.23,1.15,ok,1183601.0,BRQS,48.21428571428571
1661472000,1.21,1.14,1.21,1.12,ok,1085685.0,BRQS,42.85714285714284
1661731200,1.13,1.19,1.21,1.1,ok,1588790.0,BRQS,47.76119402985074
1661817600,1.19,1.2,1.2,1.12,ok,1980176.0,BRQS,48.52941176470588
1661904000,1.16,1.2,1.21,1.14,ok,1459046.0,BRQS,32.69230769230769
1661990400,1.17,1.19,1.19,1.14,ok,992283.0,BRQS,32.075471698113205
1662076800,1.16,1.14,1.19,1.12,ok,1220206.0,BRQS,30.909090909090892
1662422400,1.13,1.05,1.1495,1.015,ok,1923354.0,BRQS,26.984126984126974
1662508800,1.03,1.08,1.09,1.02,ok,857105.0,BRQS,29.230769230769226
1662595200,1.08,1.11,1.14,1.055,ok,1048560.0,BRQS,37.288135593220346
1662681600,1.09,1.1,1.14,1.08,ok,747649.0,BRQS,41.50943396226416
1662940800,1.1,1.09,1.13,1.08,ok,466080.0,BRQS,47.826086956521735
1663027200,1.07,1.05,1.07,1.03,ok,1058397.0,BRQS,33.33333333333336
1663113600,1.04,1.07,1.07,1.01,ok,1025570.0,BRQS,36.36363636363639
1663200000,1.05,1.03,1.0899,1.0,ok,1292024.0,BRQS,30.43478260869567
1663286400,0.989,0.9018,0.989,0.8888,ok,2571429.0,BRQS,27.01659590891549
1663545600,0.8962,0.82,0.9,0.81,ok,1887081.0,BRQS,16.363636363636374
1663632000,0.853,0.755,0.859,0.7113,ok,2364379.0,BRQS,13.223140495867781
1663718400,0.75,0.73,0.7897,0.7021,ok,856638.0,BRQS,12.698412698412696
1663804800,0.71,0.6866,0.7353,0.65,ok,1347879.0,BRQS,12.059089538739826
1663891200,0.69,0.64,0.6943,0.6046,ok,892637.0,BRQS,12.121212121212125
1664150400,0.6299,0.6399,0.66,0.6002,ok,527402.0,BRQS,14.032625855113153
1664236800,0.6473,0.646,0.6529,0.621,ok,506393.0,BRQS,10.270963017209823
1664323200,0.65,0.6734,0.6869,0.62,ok,456624.0,BRQS,9.84179543782193
1664409600,0.68,0.7048,0.7189,0.6401,ok,1404790.0,BRQS,15.026548672566364
1664496000,0.74,0.7193,0.77,0.701,ok,1042510.0,BRQS,17.453906935908705
1664755200,0.701,0.727,0.7698,0.68,ok,1673715.0,BRQS,19.93670886075948
1664841600,0.77,0.8479,0.88,0.77,ok,3831021.0,BRQS,32.59677166588308
1664928000,0.8099,0.7601,0.8099,0.73,ok,2235343.0,BRQS,30.325120279924178
1665014400,0.7399,0.708,0.7399,0.65,ok,5525636.0,BRQS,34.10954411282387
1665100800,0.69,0.6322,0.6999,0.6301,ok,1820890.0,BRQS,34.44849287843657
1665360000,0.6351,0.615,0.641,0.6024,ok,640281.0,BRQS,37.41007194244604
1665446400,0.61,0.585,0.63,0.5701,ok,926649.0,BRQS,37.076648841354725
1665532800,0.61,0.653,0.6973,0.6,ok,3603522.0,BRQS,47.131147540983605
1665619200,0.65,0.67,0.695,0.6452,ok,2857855.0,BRQS,52.697841726618705
1665705600,0.6618,0.6248,0.68,0.6112,ok,1959856.0,BRQS,48.743969389452666
1665964800,0.63,0.6284,0.645,0.614,ok,1433846.0,BRQS,48.52990310725025
1666051200,0.635,0.6507,0.6575,0.6115,ok,1991568.0,BRQS,48.08761583824768
1666137600,0.6332,0.6201,0.6499,0.616,ok,865223.0,BRQS,42.85473257971993
1666224000,0.6267,0.62,0.635,0.601,ok,754779.0,BRQS,41.41449074874632
1666310400,0.6747,0.715,0.839,0.67,ok,23148150.0,BRQS,49.09855769230769
1666569600,0.7079,0.8122,0.8123,0.6028,ok,4444796.0,BRQS,47.21919302071974
1666656000,0.82,0.8354,0.8635,0.7606,ok,3522935.0,BRQS,56.52173913043478
1666742400,0.78,0.8391,0.8596,0.7786,ok,1554098.0,BRQS,62.39364719228588
1666828800,0.83,0.795,0.8439,0.78,ok,1878055.0,BRQS,66.37168141592922
1666915200,0.76,0.79,0.8,0.7305,ok,1663823.0,BRQS,68.04123711340208
1667174400,0.79,0.8113,0.85,0.7403,ok,1847991.0,BRQS,73.75603611169433
1667260800,0.8002,0.7786,0.818,0.77,ok,1186021.0,BRQS,64.24036281179139
1667347200,0.7653,0.699,0.7763,0.69,ok,1956996.0,BRQS,52.8792692613185
1667433600,0.6989,0.668,0.7048,0.654,ok,1068576.0,BRQS,54.413567633837346
1667520000,0.671,0.625,0.7008,0.621,ok,2498499.0,BRQS,49.678517397882
1667779200,0.61,0.598,0.6188,0.58,ok,1428449.0,BRQS,45.06091846298032
1667865600,0.6,0.575,0.6046,0.572,ok,2359751.0,BRQS,45.71211256892945
1667952000,0.59,0.4832,0.594,0.4751,ok,3041674.0,BRQS,38.92487046632124
1668038400,0.52,0.51,0.5249,0.481,ok,1701326.0,BRQS,31.343283582089555
1668124800,0.52,0.5293,0.54,0.4902,ok,2253941.0,BRQS,19.999999999999986
1668384000,0.52,0.52,0.529,0.5,ok,886285.0,BRQS,15.537587412587385
1668470400,0.5227,0.5242,0.539,0.514,ok,1133264.0,BRQS,15.62977515826239
1668556800,0.5242,0.51,0.53,0.5001,ok,780713.0,BRQS,16.72115833722559
1668643200,0.5,0.511,0.5188,0.5,ok,572285.0,BRQS,17.114568599717103
1668729600,0.511,0.51,0.5482,0.501,ok,1185221.0,BRQS,12.701163654369893
1668988800,0.5,0.47,0.51,0.4468,ok,929902.0,BRQS,12.475680933852132
1669075200,0.46,0.4598,0.472,0.441,ok,1176078.0,BRQS,15.00877706260971
1669161600,0.46,0.5027,0.526,0.4545,ok,1936478.0,BRQS,26.632739609838836
1669334400,0.4946,0.5027,0.51,0.47,ok,264214.0,BRQS,30.31863533955584
1669593600,0.502,0.48,0.505,0.47,ok,739465.0,BRQS,30.74412532637075
1669680000,0.4972,0.496,0.5199,0.481,ok,745422.0,BRQS,36.806947227788925
1669766400,0.495,0.51,0.548,0.495,ok,2528684.0,BRQS,56.04693140794223
1669852800,0.51,0.4812,0.51,0.474,ok,2091203.0,BRQS,43.55992844364938
1669939200,0.485,0.46,0.5,0.4566,ok,3994111.0,BRQS,34.634146341463435
1670198400,0.46,0.42,0.46,0.4126,ok,2859625.0,BRQS,30.48399687743951
1670284800,0.4,0.3502,0.4097,0.3502,ok,4180519.0,BRQS,22.964574269732765
1670371200,0.3246,0.2503,0.3359,0.245,ok,12214874.0,BRQS,18.134969325153378
1670457600,0.25,0.2587,0.274,0.2423,ok,5497190.0,BRQS,19.5950831525669
1670544000,0.2587,0.265,0.3088,0.25,ok,4801313.0,BRQS,20.847215611613535
1670803200,0.2571,0.3045,0.315,0.252,ok,4612590.0,BRQS,30.283535858946877
1670889600,0.3118,0.296,0.3145,0.2785,ok,2645206.0,BRQS,30.406698564593313
1670976000,0.28,0.2883,0.293,0.28,ok,844912.0,BRQS,21.995820271682348
1671062400,0.282,0.2749,0.2978,0.26,ok,945016.0,BRQS,21.251892983341747
1671148800,0.2667,0.274,0.2773,0.265,ok,670099.0,BRQS,22.48931623931624
1671408000,0.27,0.2599,0.27,0.2528,ok,1097543.0,BRQS,18.308724832214764
1671494400,0.26,0.2388,0.265,0.2258,ok,1806534.0,BRQS,14.2781875658588
1671580800,0.2388,0.232,0.24,0.2257,ok,688284.0,BRQS,15.1565995525727
1671667200,0.23,0.215,0.23,0.2036,ok,1316311.0,BRQS,15.336728919071874
1671753600,0.22,0.21,0.22,0.209,ok,1026707.0,BRQS,17.022613065326624
1672099200,0.2057,0.214,0.2183,0.2056,ok,742946.0,BRQS,23.04038004750592
1672185600,0.2125,0.2101,0.218,0.206,ok,1052705.0,BRQS,37.1647509578544
1672272000,0.2103,0.2128,0.225,0.2076,ok,1607961.0,BRQS,34.79125248508947
1672358400,0.217,0.2081,0.2199,0.1925,ok,2234495.0,BRQS,30.94440723375753
