t,o,c,h,l,s,v,Ticker
1652140800,3.4000000000000004,3.065,3.403,3.005,ok,11485.8,MTC
1652227200,3.0730000000000004,2.8000000000000003,3.1979999999999995,2.7079999999999997,ok,5396.6,MTC
1652313600,2.7089999999999996,2.6,2.7089999999999996,2.388,ok,16278.6,MTC
1652400000,2.757,2.8000000000000003,2.9899999999999998,2.5,ok,7326.5,MTC
1652659200,3.0,3.167,3.298,2.801,ok,13450.5,MTC
1652745600,3.1769999999999996,4.3,5.3580000000000005,3.0,ok,514719.4,MTC
1652832000,4.050000000000001,3.704,4.54,3.704,ok,35137.5,MTC
1652918400,4.191,3.92,4.3,3.9000000000000004,ok,13443.7,MTC
1653004800,4.0,4.0,4.5,3.8229999999999995,ok,10423.2,MTC
1653264000,3.875,3.8,3.9989999999999997,3.8,ok,5763.1,MTC
1653350400,3.8,3.8390000000000004,3.849,3.504,ok,11452.2,MTC
1653436800,3.7,3.7009999999999996,4.2,3.5,ok,7911.5,MTC
1653523200,3.8,3.7,4.199,3.5,ok,9832.8,MTC
1653609600,3.7199999999999998,3.7199999999999998,3.899,3.7199999999999998,ok,2424.3,MTC
1653955200,3.761,3.856,4.87,3.761,ok,13525.7,MTC
1654041600,3.635,3.6799999999999997,3.9000000000000004,3.4000000000000004,ok,10710.8,MTC
1654128000,3.6799999999999997,3.6820000000000004,4.299,3.601,ok,621.3,MTC
1654214400,3.6799999999999997,3.87,4.159,3.5010000000000003,ok,6159.8,MTC
1654473600,3.9979999999999998,4.492999999999999,4.779999999999999,3.749,ok,23274.2,MTC
1654560000,4.3580000000000005,4.749,4.749,4.273,ok,6651.7,MTC
1654646400,4.699999999999999,4.725,4.8,4.486,ok,243.6,MTC
1654732800,4.107,5.199,5.5,4.107,ok,47474.0,MTC
1654819200,4.89,5.0,6.29,4.622,ok,66440.8,MTC
1655078400,4.75,4.8,5.199,4.34,ok,9809.7,MTC
1655164800,4.55,4.680000000000001,4.8,4.4,ok,2812.3,MTC
1655251200,4.699999999999999,4.71,5.199,4.4,ok,4160.6,MTC
1655337600,4.4,4.201,4.699999999999999,4.2,ok,3756.1,MTC
1655424000,4.2,4.183,4.6000000000000005,3.95,ok,5142.5,MTC
1655769600,4.25,4.21,4.49,3.9650000000000003,ok,5418.6,MTC
1655856000,3.9000000000000004,4.1049999999999995,4.1049999999999995,3.9000000000000004,ok,598.0,MTC
1655942400,4.1049999999999995,4.2,4.5,4.1049999999999995,ok,6050.1,MTC
1656028800,4.1499999999999995,4.326,4.5,4.1499999999999995,ok,9274.7,MTC
1656288000,4.2,4.154,4.201,4.008,ok,2649.3,MTC
1656374400,4.003,3.982,4.14,3.9000000000000004,ok,3544.3,MTC
1656460800,3.982,3.363,3.982,3.3329999999999997,ok,10060.3,MTC
1656547200,3.688,2.948,3.688,2.717,ok,7955.1,MTC
1656633600,2.3499999999999996,2.073,2.6029999999999998,2.0,ok,152134.7,MTC
1656979200,2.2,2.093,2.2,2.001,ok,38893.9,MTC
1657065600,2.218,2.19,2.315,2.0100000000000002,ok,59458.5,MTC
1657152000,1.775,2.102,2.23,1.75,ok,161798.2,MTC
1657238400,2.039,2.201,2.299,2.0,ok,26501.3,MTC
1657497600,2.37,2.299,2.489,2.201,ok,36932.9,MTC
1657584000,2.3499999999999996,1.9989999999999999,2.3499999999999996,1.925,ok,139507.7,MTC
1657670400,2.25,1.83,2.25,1.8,ok,168979.0,MTC
1657756800,1.81,1.74,1.8999,1.52,ok,112260.0,MTC
1657843200,1.74,1.59,1.78,1.58,ok,36469.0,MTC
1658102400,1.58,1.544,1.6799,1.5098,ok,59143.0,MTC
1658188800,1.5801,1.53,1.73,1.51,ok,149677.0,MTC
1658275200,1.55,1.529,1.64,1.5,ok,84840.0,MTC
1658361600,1.62,1.6,1.62,1.51,ok,37620.0,MTC
1658448000,1.6,1.71,1.75,1.5602,ok,43719.0,MTC
1658707200,1.707,1.74,1.78,1.66,ok,49777.0,MTC
1658793600,1.75,1.65,1.75,1.59,ok,19918.0,MTC
1658880000,1.61,1.57,1.8355,1.5,ok,74118.0,MTC
1658966400,1.5399,1.67,1.69,1.49,ok,24134.0,MTC
1659052800,1.5709,1.54,1.5709,1.41,ok,28698.0,MTC
1659312000,1.48,1.6,1.68,1.41,ok,31373.0,MTC
1659398400,1.6516,7.85,8.29,1.57,ok,13109485.0,MTC
