t,o,c,h,l,s,v,Ticker,RSI
1652140800,6.8,5.82,6.86,5.79,ok,123306.0,PRDS,
1652227200,5.83,5.08,6.1,4.89,ok,241361.0,PRDS,
1652313600,5.01,5.25,5.32,4.93,ok,198271.0,PRDS,
1652400000,5.44,6.04,6.19,5.294,ok,258367.0,PRDS,
1652659200,6.06,5.69,6.11,5.67,ok,64078.0,PRDS,
1652745600,5.78,5.93,5.95,5.71,ok,66787.0,PRDS,
1652832000,5.89,5.87,6.57,5.7,ok,307619.0,PRDS,
1652918400,5.87,5.71,5.93,5.65,ok,91852.0,PRDS,
1653004800,5.78,6.26,6.28,5.78,ok,147158.0,PRDS,
1653264000,6.5,6.36,6.6,6.26,ok,116091.0,PRDS,
1653350400,6.32,6.18,6.32,6.15,ok,63705.0,PRDS,
1653436800,6.16,6.24,6.27,6.06,ok,55898.0,PRDS,
1653523200,6.33,5.62,6.4,5.61,ok,116305.0,PRDS,
1653609600,5.67,5.78,5.82,5.63,ok,83991.0,PRDS,49.52153110047846
1653955200,5.7,5.64,5.82,5.53,ok,173313.0,PRDS,47.916666666666664
1654041600,5.64,5.74,5.77,5.515,ok,109266.0,PRDS,58.96739130434783
1654128000,5.71,5.65,5.83,5.52,ok,190225.0,PRDS,55.55555555555556
1654214400,5.76,5.46,5.77,5.305,ok,101349.0,PRDS,40.33333333333334
1654473600,5.64,5.68,6.04,5.58,ok,380154.0,PRDS,49.82578397212542
1654560000,5.66,5.0,5.71,4.65,ok,262257.0,PRDS,35.95166163141995
1654646400,4.92,5.21,5.69,4.87,ok,171155.0,PRDS,40.46242774566475
1654732800,5.13,4.91,5.13,4.685,ok,166959.0,PRDS,38.8888888888889
1654819200,4.87,4.74,4.87,4.54,ok,96100.0,PRDS,26.397515527950333
1655078400,4.8,3.9,4.8,3.77,ok,171508.0,PRDS,18.939393939393952
1655164800,3.93,4.15,4.26,3.755,ok,211475.0,PRDS,24.81389578163774
1655251200,4.14,4.22,4.285,4.06,ok,145260.0,PRDS,25.000000000000014
1655337600,4.26,4.5,4.56,4.0601,ok,180041.0,PRDS,34.86486486486487
1655424000,4.59,4.88,4.94,4.48,ok,352131.0,PRDS,38.52040816326531
1655769600,4.81,4.85,5.07,4.695,ok,254035.0,PRDS,39.63254593175853
1655856000,4.76,4.5,4.85,4.38,ok,296437.0,PRDS,34.72906403940887
1655942400,4.51,4.32,4.62,4.27,ok,488625.0,PRDS,33.97590361445782
1656028800,4.34,3.46,4.57,3.405,ok,3449140.0,PRDS,29.25311203319501
1656288000,3.53,3.0,3.53,2.79,ok,594343.0,PRDS,23.517786561264828
1656374400,3.05,2.84,3.185,2.82,ok,297253.0,PRDS,26.211453744493397
1656460800,2.8,3.01,3.02,2.65,ok,524030.0,PRDS,25.555555555555543
1656547200,3.0,3.07,3.17,2.91,ok,258417.0,PRDS,28.403755868544593
1656633600,3.04,3.12,3.14,3.015,ok,118618.0,PRDS,30.434782608695656
1656979200,3.01,3.44,3.46,3.01,ok,215135.0,PRDS,43.646408839779
1657065600,3.45,3.36,3.51,3.36,ok,167384.0,PRDS,38.55072463768116
1657152000,3.36,3.44,3.53,3.2996,ok,258726.0,PRDS,38.72832369942197
1657238400,3.42,3.57,3.595,3.36,ok,285102.0,PRDS,35.95166163141994
1657497600,3.56,3.32,3.56,3.27,ok,236355.0,PRDS,25.47169811320755
1657584000,3.38,3.29,3.39,3.15,ok,81807.0,PRDS,25.47169811320755
1657670400,3.2,3.3,3.425,3.15,ok,115867.0,PRDS,28.873239436619713
1657756800,3.3,3.19,3.3,3.04,ok,116263.0,PRDS,29.602888086642594
1657843200,3.27,3.38,3.38,3.19,ok,115096.0,PRDS,48.095238095238095
1658102400,3.45,3.32,3.52,3.28,ok,94383.0,PRDS,59.411764705882355
1658188800,3.4,3.45,3.56,3.37,ok,212503.0,PRDS,68.26347305389223
1658275200,3.45,3.4,3.54,3.24,ok,127835.0,PRDS,62.58064516129033
1658361600,3.39,3.36,3.46,3.32,ok,52958.0,PRDS,59.47712418300654
1658448000,3.33,3.05,3.33,2.98,ok,87535.0,PRDS,48.04469273743016
1658707200,3.07,3.14,3.19,2.965,ok,64602.0,PRDS,40.384615384615394
1658793600,3.16,3.12,3.33,3.0,ok,84692.0,PRDS,42.000000000000014
1658880000,3.17,3.05,3.17,2.92,ok,282761.0,PRDS,36.912751677852356
1658966400,2.97,3.01,3.11,2.97,ok,58194.0,PRDS,30.000000000000014
1659052800,2.96,2.82,3.01,2.73,ok,131638.0,PRDS,31.34328358208957
1659312000,2.83,2.77,2.83,2.68,ok,61486.0,PRDS,30.882352941176492
1659398400,2.765,2.9,2.95,2.765,ok,127271.0,PRDS,36.4864864864865
1659484800,2.96,2.72,3.08,2.6,ok,290574.0,PRDS,34.838709677419374
1659571200,2.72,2.87,2.9,2.72,ok,52779.0,PRDS,33.11258278145698
1659657600,2.79,3.025,3.09,2.79,ok,153422.0,PRDS,40.80996884735203
1659916800,3.06,3.17,3.4403,3.05,ok,171841.0,PRDS,41.358024691358025
1660003200,3.13,3.15,3.4,3.07,ok,163493.0,PRDS,42.13836477987421
1660089600,3.2,3.12,3.22,3.03,ok,65196.0,PRDS,42.40506329113925
1660176000,3.12,2.96,3.24,2.93,ok,47257.0,PRDS,46.85314685314686
1660262400,3.0,3.02,3.11,2.88,ok,43150.0,PRDS,45.714285714285715
1660521600,3.06,2.86,3.15,2.71,ok,85199.0,PRDS,41.55844155844155
1660608000,2.79,2.88,3.02,2.73,ok,153550.0,PRDS,44.29530201342281
1660694400,2.84,2.85,3.155,2.78,ok,177432.0,PRDS,44.594594594594604
1660780800,2.86,2.89,2.94,2.81,ok,76421.0,PRDS,52.63157894736843
1660867200,2.84,2.98,3.23,2.6706,ok,141335.0,PRDS,57.66423357664233
1661126400,2.96,3.01,3.23,2.72,ok,83043.0,PRDS,54.33070866141731
1661212800,3.02,3.06,3.305,3.0,ok,74468.0,PRDS,64.91228070175438
1661299200,3.07,3.01,3.18,3.0,ok,26822.0,PRDS,56.73076923076922
1661385600,3.07,3.31,3.49,2.85,ok,115575.0,PRDS,62.025316455696206
1661472000,3.35,3.7,3.81,3.35,ok,146126.0,PRDS,68.53146853146853
1661731200,3.63,3.44,3.93,3.2901,ok,153600.0,PRDS,58.68263473053892
1661817600,3.42,3.53,3.6,3.34,ok,129819.0,PRDS,61.84971098265895
1661904000,3.5,3.51,3.62,3.19,ok,132956.0,PRDS,67.29559748427671
1661990400,3.47,3.56,3.58,3.13,ok,52467.0,PRDS,67.08860759493669
1662076800,3.47,3.6,3.61,3.27,ok,95628.0,PRDS,75.34246575342465
1662422400,3.61,3.13,3.67,3.13,ok,205814.0,PRDS,56.544502617801044
1662508800,3.07,3.17,3.18,3.05,ok,82957.0,PRDS,58.33333333333332
1662595200,3.15,3.32,3.38,3.11,ok,95337.0,PRDS,60.59113300492609
1662681600,3.34,2.97,3.41,2.9273,ok,164676.0,PRDS,49.7816593886463
1662940800,3.02,3.06,3.1251,2.5534,ok,145829.0,PRDS,51.06382978723405
1663027200,2.97,3.07,3.1,2.77,ok,123940.0,PRDS,50.216450216450205
1663113600,2.99,2.98,3.19,2.84,ok,147582.0,PRDS,49.361702127659576
1663200000,2.95,2.53,3.105,2.49,ok,211999.0,PRDS,34.400000000000006
1663286400,2.57,2.29,2.6834,2.22,ok,708136.0,PRDS,19.999999999999986
1663545600,2.21,2.26,2.31,2.155,ok,148191.0,PRDS,22.169811320754704
1663632000,2.24,2.19,2.27,1.94,ok,363952.0,PRDS,18.095238095238088
1663718400,2.17,2.14,2.24,2.05,ok,124028.0,PRDS,17.84037558685445
1663804800,2.14,2.2,2.23,2.01,ok,105211.0,PRDS,18.224299065420553
1663891200,2.17,2.17,2.23,2.1,ok,121994.0,PRDS,16.43192488262909
1664150400,2.16,2.19,2.25,2.08,ok,114854.0,PRDS,22.02380952380952
1664236800,2.17,2.0,2.24,1.96,ok,157048.0,PRDS,18.032786885245883
1664323200,2.08,2.31,2.32,2.0,ok,155437.0,PRDS,24.62311557788945
1664409600,2.26,1.99,2.355,1.9775,ok,137449.0,PRDS,25.0
1664496000,1.99,1.85,2.02,1.83,ok,177306.0,PRDS,19.90049751243781
1664755200,1.85,1.75,1.92,1.71,ok,161783.0,PRDS,18.57142857142857
1664841600,1.81,1.78,1.8299,1.695,ok,252975.0,PRDS,20.588235294117652
1664928000,1.71,1.66,1.73,1.65,ok,70826.0,PRDS,24.56140350877193
1665014400,1.65,1.66,1.82,1.63,ok,76755.0,PRDS,28.57142857142857
1665100800,1.63,1.55,1.73,1.5,ok,78521.0,PRDS,27.0967741935484
1665360000,1.54,1.45,1.62,1.44,ok,121839.0,PRDS,26.582278481012665
1665446400,1.46,1.5,1.58,1.46,ok,125720.0,PRDS,29.74683544303798
1665532800,1.5,1.44,1.545,1.395,ok,106460.0,PRDS,25.9493670886076
1665619200,1.4,1.5,1.61,1.4,ok,131678.0,PRDS,29.19254658385094
