t,o,c,h,l,s,v,Ticker,RSI
1652140800,1.44,1.4099,1.44,1.32,ok,52358.0,AIU,
1652227200,1.33,1.17,1.37,1.17,ok,147951.0,AIU,
1652313600,1.2001,1.37,1.4,1.2,ok,62923.0,AIU,
1652400000,1.33,1.41,1.4599,1.29,ok,24556.0,AIU,
1652659200,1.44,1.37,1.44,1.36,ok,39099.0,AIU,
1652745600,1.43,1.48,1.48,1.39,ok,31546.0,AIU,
1652832000,1.4,1.43,1.47,1.38,ok,24165.0,AIU,
1652918400,1.47,1.49,1.57,1.46,ok,17908.0,AIU,
1653004800,1.5148,1.5,1.5699,1.4201,ok,35717.0,AIU,
1653264000,1.6021,1.48,1.6021,1.48,ok,11500.0,AIU,
1653350400,1.48,1.52,1.52,1.4613,ok,16428.0,AIU,
1653436800,1.66,1.43,1.66,1.4,ok,22987.0,AIU,
1653523200,1.43,1.4699,1.47,1.35,ok,20838.0,AIU,
1653609600,1.4203,1.53,1.53,1.4203,ok,6772.0,AIU,56.00560056005602
1653955200,1.53,1.5599,1.571,1.46,ok,9636.0,AIU,57.282967566517776
1654041600,1.45,1.55,1.55,1.45,ok,11083.0,AIU,73.7559389847462
1654128000,1.51,1.6,1.6,1.51,ok,15781.0,AIU,67.69775315481687
1654214400,1.55,1.73,1.73,1.55,ok,32857.0,AIU,71.62746688294133
1654473600,1.78,1.73,1.79,1.68,ok,25794.0,AIU,75.7216347527865
1654560000,1.63,1.72,1.7699,1.63,ok,28699.0,AIU,70.00666888962986
1654646400,1.6,1.7099,1.71,1.6,ok,18473.0,AIU,74.99553491694945
1654732800,1.6638,1.79,1.88,1.6638,ok,93128.0,AIU,75.86206896551722
1654819200,1.84,1.63,1.84,1.58,ok,81400.0,AIU,58.904109589041084
1655078400,1.48,1.56,1.6088,1.48,ok,26193.0,AIU,55.12820512820513
1655164800,1.6892,1.64,1.6892,1.53,ok,14588.0,AIU,57.3170731707317
1655251200,1.82,1.5,1.84,1.49,ok,31601.0,AIU,54.02298850574713
1655337600,1.83,1.61,1.83,1.51,ok,13490.0,AIU,57.4513349643655
1655424000,1.65,1.6,1.6501,1.56,ok,10118.0,AIU,53.932584269662925
1655769600,1.55,1.61,1.6658,1.55,ok,14993.0,AIU,52.878979427652
1655856000,1.57,1.59,1.605,1.57,ok,5224.0,AIU,52.27221086116793
1655942400,1.551,1.72,1.9,1.551,ok,124831.0,AIU,56.24869818787753
1656028800,1.72,1.7,1.81,1.6,ok,72360.0,AIU,48.23570924488355
1656288000,1.74,1.6699,1.74,1.63,ok,16082.0,AIU,46.586391003067135
1656374400,1.77,1.6864,1.79,1.6699,ok,25925.0,AIU,48.10554803788904
1656460800,1.77,1.6539,1.7899,1.6,ok,21125.0,AIU,46.92036955565332
1656547200,1.78,1.48,1.78,1.44,ok,24689.0,AIU,34.54636091724825
1656633600,1.45,1.55,1.6099,1.45,ok,8688.0,AIU,45.618838992332975
1656979200,1.5,1.3,1.5,1.3,ok,50970.0,AIU,38.106129917657825
1657065600,1.32,1.34,1.38,1.32,ok,17771.0,AIU,35.75498575498575
1657152000,1.3401,1.4,1.43,1.3401,ok,21381.0,AIU,44.861253854059605
1657238400,1.5,1.4,1.5,1.36,ok,2615.0,AIU,37.83314020857472
1657497600,1.31,1.38,1.4046,1.31,ok,13262.0,AIU,37.39977090492553
1657584000,1.3101,1.24,1.38,1.24,ok,7911.0,AIU,31.555333998005977
1657670400,1.26,1.33,1.36,1.24,ok,87014.0,AIU,37.88443616029823
1657756800,1.27,1.3,1.3469,1.26,ok,13969.0,AIU,28.41726618705036
1657843200,1.36,1.36,1.4,1.3,ok,11268.0,AIU,33.21816386969398
1658102400,1.33,1.31,1.38,1.26,ok,23926.0,AIU,32.578177945590085
1658188800,1.34,1.2,1.36,1.18,ok,29946.0,AIU,28.40909090909092
1658275200,1.26,1.22,1.3,1.2,ok,31618.0,AIU,30.523386300386036
1658361600,1.21,1.2553,1.2792,1.21,ok,23779.0,AIU,38.48046754844664
1658448000,1.22,1.2,1.27,1.16,ok,38230.0,AIU,31.782219446179468
1658707200,1.11,1.155,1.2117,1.11,ok,24581.0,AIU,40.404976177871895
1658793600,1.16,1.1,1.1667,1.1,ok,21030.0,AIU,34.42771866078381
1658880000,1.15,1.145,1.1971,1.1101,ok,15571.0,AIU,33.12599258867127
1658966400,1.22,1.14,1.37,1.03,ok,16981.0,AIU,32.9082303444649
1659052800,1.1,1.1,1.17,1.1,ok,21338.0,AIU,32.06507814501667
1659312000,1.13,1.09,1.15,1.08,ok,26493.0,AIU,38.47217952659085
1659398400,1.08,1.37,1.81,1.07,ok,2768900.0,AIU,52.379252914584825
1659484800,1.43,1.25,1.64,1.18,ok,532548.0,AIU,47.31356114334838
1659571200,1.25,1.14,1.25,1.1,ok,179304.0,AIU,38.782378135835195
