t,o,c,h,l,s,v,Ticker
1652140800,7.8012,8.303999999999998,8.58,7.800000000000001,ok,9493.666666666666,HTGM
1652227200,8.2248,7.212,8.4396,6.9612,ok,15503.0,HTGM
1652313600,7.482000000000001,7.3187999999999995,7.7028,6.612,ok,13087.166666666666,HTGM
1652400000,6.8759999999999994,7.343999999999999,7.726800000000001,6.6000000000000005,ok,38745.916666666664,HTGM
1652659200,7.4399999999999995,7.536,8.040000000000001,6.779999999999999,ok,26157.166666666668,HTGM
1652745600,7.5287999999999995,8.1144,8.7,6.976800000000001,ok,11181.666666666666,HTGM
1652832000,8.1684,7.4664,8.267999999999999,7.199999999999999,ok,9631.416666666666,HTGM
1652918400,7.6164000000000005,7.428,7.836,7.058399999999999,ok,7648.75,HTGM
1653004800,7.4879999999999995,6.8100000000000005,7.5084,6.6804,ok,11203.25,HTGM
1653264000,6.6000000000000005,6.720000000000001,7.800000000000001,6.3612,ok,340160.25,HTGM
1653350400,7.1903999999999995,7.08,7.776,6.421200000000001,ok,355382.4166666667,HTGM
1653436800,6.903600000000001,6.8100000000000005,7.08,6.1823999999999995,ok,133698.41666666666,HTGM
1653523200,6.706799999999999,6.48,6.779999999999999,6.303599999999999,ok,62803.5,HTGM
1653609600,6.720000000000001,6.48,6.84,6.3588000000000005,ok,51431.25,HTGM
1653955200,6.6024,6.720000000000001,6.959999999999999,6.5412,ok,58464.75,HTGM
1654041600,6.720000000000001,6.6419999999999995,7.1928,6.3624,ok,73678.75,HTGM
1654128000,6.6684,6.42,6.6684,6.2508,ok,41877.75,HTGM
1654214400,6.526800000000001,6.24,6.565200000000001,6.0,ok,31861.666666666668,HTGM
1654473600,6.1248,6.0504,6.300000000000001,5.88,ok,34393.5,HTGM
1654560000,6.5040000000000004,6.1548,6.5040000000000004,6.0,ok,34781.666666666664,HTGM
1654646400,5.946,6.4332,6.48,5.946,ok,33487.666666666664,HTGM
1654732800,6.4332,7.26,7.656000000000001,6.4332,ok,80077.0,HTGM
1654819200,7.32,6.684000000000001,7.32,6.305999999999999,ok,21589.916666666668,HTGM
1655078400,6.3756,6.0,6.5544,5.527200000000001,ok,23073.75,HTGM
1655164800,5.9448,5.58,5.9448,5.5200000000000005,ok,24836.416666666668,HTGM
1655251200,5.64,6.959999999999999,6.959999999999999,5.5200000000000005,ok,71979.41666666667,HTGM
1655337600,7.08,6.7968,7.08,5.868,ok,30330.75,HTGM
1655424000,6.846,6.658799999999999,6.9156,6.492000000000001,ok,13603.0,HTGM
1655769600,6.658799999999999,6.815999999999999,6.8988,6.280799999999999,ok,13718.0,HTGM
1655856000,6.588000000000001,6.4824,7.23,6.36,ok,19965.5,HTGM
1655942400,6.5076,6.300000000000001,7.034400000000001,6.1812000000000005,ok,24739.416666666668,HTGM
1656028800,6.6000000000000005,6.534,6.759600000000001,6.3012,ok,59889.75,HTGM
1656288000,6.48,6.6240000000000006,6.863999999999999,6.384,ok,12999.166666666666,HTGM
1656374400,6.6240000000000006,10.08,13.32,6.6240000000000006,ok,2806011.25,HTGM
1656460800,12.600000000000001,11.879999999999999,15.96,10.926,ok,8557280.75,HTGM
1656547200,11.1636,12.36,12.48,10.2,ok,712667.0,HTGM
1656633600,11.0172,12.96,13.559999999999999,11.0172,ok,274570.75,HTGM
1656979200,12.96,13.68,14.64,12.600000000000001,ok,484175.25,HTGM
1657065600,13.200000000000001,14.64,15.120000000000001,11.64,ok,405033.6666666667,HTGM
1657152000,14.52,16.799999999999997,17.28,14.16,ok,537444.4166666666,HTGM
1657238400,16.56,18.48,19.080000000000002,16.080000000000002,ok,341222.0,HTGM
1657497600,18.84,19.919999999999998,20.88,17.28,ok,347263.5,HTGM
1657584000,18.6,18.48,20.04,16.56,ok,176956.5,HTGM
1657670400,17.759999999999998,20.64,21.48,16.799999999999997,ok,316221.0,HTGM
1657756800,20.52,21.84,22.451999999999998,19.32,ok,306326.5,HTGM
