t,o,c,h,l,s,v,Ticker
1652140800,28.35,27.43,28.65,27.0,ok,50797.0,UEIC
1652227200,27.61,26.4,27.98,26.24,ok,56858.0,UEIC
1652313600,26.09,27.17,27.31,26.09,ok,42779.0,UEIC
1652400000,27.22,27.58,27.85,26.95,ok,41113.0,UEIC
1652659200,27.3,26.95,27.32,26.78,ok,39846.0,UEIC
1652745600,27.4,27.94,28.01,27.3043,ok,29455.0,UEIC
1652832000,27.7,27.2,28.07,27.13,ok,54978.0,UEIC
1652918400,26.85,26.87,27.11,26.49,ok,65738.0,UEIC
1653004800,27.37,26.52,27.37,26.0,ok,55919.0,UEIC
1653264000,26.74,26.87,27.0,26.21,ok,48931.0,UEIC
1653350400,26.48,26.38,26.76,25.71,ok,34062.0,UEIC
1653436800,26.1,26.67,26.86,26.1,ok,43061.0,UEIC
1653523200,26.89,26.62,27.2,26.46,ok,36273.0,UEIC
1653609600,26.96,26.93,27.3,26.67,ok,32310.0,UEIC
1653955200,26.96,26.8,27.11,26.38,ok,82249.0,UEIC
1654041600,26.97,27.1,27.32,26.52,ok,40605.0,UEIC
1654128000,27.02,27.68,27.73,27.02,ok,32287.0,UEIC
1654214400,27.64,26.91,27.64,26.72,ok,27376.0,UEIC
1654473600,26.99,27.11,27.19,26.57,ok,92919.0,UEIC
1654560000,26.81,27.48,27.6,26.5,ok,40307.0,UEIC
1654646400,27.53,27.42,27.73,27.29,ok,29846.0,UEIC
1654732800,27.46,27.49,27.71,27.26,ok,36359.0,UEIC
1654819200,27.29,26.46,27.29,26.46,ok,35220.0,UEIC
1655078400,25.99,26.05,26.36,25.755,ok,87753.0,UEIC
1655164800,26.27,26.6,26.93,25.94,ok,77707.0,UEIC
1655251200,26.76,26.5,27.29,26.25,ok,48435.0,UEIC
1655337600,25.85,24.28,25.85,24.085,ok,66939.0,UEIC
1655424000,25.365,25.38,25.43,24.32,ok,187198.0,UEIC
1655769600,25.51,25.9,27.0799,25.2718,ok,52453.0,UEIC
1655856000,25.62,26.03,26.3498,25.38,ok,31828.0,UEIC
1655942400,26.03,26.79,26.8,26.03,ok,27999.0,UEIC
1656028800,26.8,28.08,28.2,26.8,ok,166780.0,UEIC
1656288000,28.15,27.3,28.15,27.2,ok,55120.0,UEIC
1656374400,27.3,26.27,27.39,26.2,ok,51882.0,UEIC
1656460800,26.38,26.09,26.49,25.81,ok,45372.0,UEIC
1656547200,25.79,25.57,26.83,25.35,ok,38975.0,UEIC
1656633600,25.4,26.01,26.42,25.04,ok,52183.0,UEIC
1656979200,25.83,26.35,26.52,25.44,ok,74569.0,UEIC
1657065600,26.26,25.73,26.26,25.41,ok,32476.0,UEIC
1657152000,25.73,25.73,26.12,25.37,ok,41288.0,UEIC
1657238400,25.76,25.68,26.67,25.515,ok,36192.0,UEIC
1657497600,25.63,24.16,25.68,24.075,ok,36777.0,UEIC
1657584000,24.6,24.7,24.955,24.27,ok,62516.0,UEIC
1657670400,24.49,24.52,24.705,24.21,ok,33770.0,UEIC
1657756800,24.23,23.78,24.32,23.29,ok,37673.0,UEIC
1657843200,24.18,24.95,25.16,23.8691,ok,49451.0,UEIC
1658102400,25.1,24.89,25.6,24.745,ok,52704.0,UEIC
