t,o,c,h,l,s,v,Ticker,RSI
1652140800,4.54,4.46,4.67,4.37,ok,420696.0,KRON,
1652227200,4.42,4.0,4.57,3.98,ok,358826.0,KRON,
1652313600,4.09,4.0,4.19,3.87,ok,325406.0,KRON,
1652400000,4.02,3.91,4.19,3.78,ok,395091.0,KRON,
1652659200,3.96,3.63,3.97,3.61,ok,233937.0,KRON,
1652745600,3.73,3.94,3.95,3.69,ok,464964.0,KRON,
1652832000,3.79,3.76,4.0,3.6,ok,585547.0,KRON,
1652918400,3.72,3.55,4.03,3.5,ok,3338069.0,KRON,
1653004800,3.81,3.81,4.16,3.72,ok,1694238.0,KRON,
1653264000,3.95,3.83,4.005,3.68,ok,711327.0,KRON,
1653350400,3.8,3.41,3.81,3.37,ok,647404.0,KRON,
1653436800,3.36,3.36,3.55,3.21,ok,506636.0,KRON,
1653523200,3.35,3.41,3.49,3.3,ok,450013.0,KRON,
1653609600,3.43,3.69,3.725,3.35,ok,605209.0,KRON,35.249042145593876
1653955200,3.7,3.72,3.875,3.63,ok,976019.0,KRON,35.9848484848485
1654041600,3.76,3.45,3.91,3.44,ok,428053.0,KRON,38.77551020408165
1654128000,3.43,3.45,3.53,3.3,ok,412888.0,KRON,38.77551020408165
1654214400,3.44,3.66,3.72,3.41,ok,378212.0,KRON,45.13618677042801
1654473600,3.74,3.8,3.89,3.63,ok,621641.0,KRON,53.49794238683127
1654560000,3.74,4.13,4.17,3.74,ok,617275.0,KRON,53.87755102040816
1654646400,4.09,4.14,4.37,4.08,ok,563012.0,KRON,58.33333333333333
1654732800,4.1,3.75,4.1,3.73,ok,476554.0,KRON,54.06504065040651
1654819200,3.62,3.26,3.72,3.23,ok,541714.0,KRON,39.776951672862445
1655078400,3.08,3.12,3.2,2.96,ok,592652.0,KRON,37.36654804270463
1655164800,3.14,3.26,3.3299,3.08,ok,464725.0,KRON,47.03557312252964
1655251200,3.22,3.35,3.395,3.19,ok,608077.0,KRON,49.80544747081713
1655337600,3.21,3.13,3.285,3.01,ok,686852.0,KRON,44.89051094890511
1655424000,3.15,3.51,3.7,3.15,ok,2770798.0,KRON,46.83098591549295
1655769600,3.55,3.55,3.745,3.5,ok,576143.0,KRON,47.017543859649116
1655856000,3.5,3.53,3.74,3.5,ok,629924.0,KRON,51.53846153846153
1655942400,3.56,3.58,3.725,3.42,ok,364064.0,KRON,52.45283018867925
1656028800,3.63,3.64,3.65,3.45,ok,1258766.0,KRON,49.6
1656288000,3.63,3.73,3.765,3.55,ok,481140.0,KRON,48.57142857142858
1656374400,3.74,3.69,3.9058,3.63,ok,319113.0,KRON,39.81481481481481
1656460800,3.68,3.74,3.81,3.6,ok,230543.0,KRON,40.909090909090914
1656547200,3.66,3.64,3.785,3.59,ok,325916.0,KRON,47.12041884816754
1656633600,3.64,3.86,3.88,3.64,ok,168260.0,KRON,68.29268292682927
1656979200,3.77,3.99,4.0,3.6536,ok,255762.0,KRON,76.68711656441717
1657065600,3.99,4.15,4.24,3.99,ok,281471.0,KRON,76.96969696969697
1657152000,4.21,4.42,4.495,4.13,ok,280921.0,KRON,79.23497267759561
1657238400,4.36,4.5,4.54,4.36,ok,181057.0,KRON,90.53254437869822
1657497600,4.39,4.32,4.47,4.255,ok,342345.0,KRON,77.18120805369128
1657584000,4.33,4.6,4.64,4.19,ok,328641.0,KRON,80.34682080924856
1657670400,4.61,4.88,4.9,4.34,ok,181810.0,KRON,83.91959798994975
1657756800,4.81,4.81,4.88,4.6,ok,204831.0,KRON,80.59701492537313
1657843200,4.94,4.94,4.95,4.79,ok,236414.0,KRON,81.25
1658102400,5.1,5.0,5.375,4.98,ok,215506.0,KRON,80.97560975609755
1658188800,5.03,5.14,5.27,4.98,ok,179478.0,KRON,83.72093023255813
1658275200,5.14,5.26,5.3,4.95,ok,156008.0,KRON,84.23423423423424
1658361600,5.26,5.42,5.43,5.23,ok,99219.0,KRON,89.03508771929825
1658448000,5.56,5.18,5.63,5.05,ok,235500.0,KRON,78.69565217391303
1658707200,5.17,5.02,5.17,4.89,ok,164809.0,KRON,72.10300429184548
1658793600,4.96,4.87,5.02,4.78,ok,103380.0,KRON,65.51724137931035
1658880000,4.9,4.87,5.0073,4.71,ok,102057.0,KRON,60.97560975609757
1658966400,4.88,4.56,4.88,4.26,ok,165452.0,KRON,51.3157894736842
1659052800,4.52,4.2,4.52,4.07,ok,184465.0,KRON,47.56097560975609
1659312000,4.16,4.13,4.37,4.08,ok,200938.0,KRON,39.55555555555557
1659398400,4.12,4.58,4.6,4.09,ok,1209787.0,KRON,43.80165289256199
1659484800,4.6,5.17,5.3,4.5885,ok,202073.0,KRON,56.12244897959184
1659571200,5.21,5.415,5.54,5.2,ok,197721.0,KRON,57.774140752864156
1659657600,5.42,5.55,5.635,5.29,ok,294559.0,KRON,58.78594249201278
1659916800,5.63,5.28,5.74,5.13,ok,318500.0,KRON,52.14723926380369
1660003200,5.28,4.78,5.31,4.74,ok,289086.0,KRON,43.40659340659341
1660089600,4.96,4.95,5.185,4.83,ok,299733.0,KRON,43.561643835616444
1660176000,5.02,4.89,5.3,4.78,ok,220687.0,KRON,45.821325648414984
1660262400,4.92,5.38,5.5,4.875,ok,324744.0,KRON,54.736842105263165
1660521600,5.27,5.16,5.405,5.11,ok,207571.0,KRON,53.74677002583979
1660608000,5.17,4.85,5.17,4.75,ok,210201.0,KRON,49.76076555023922
1660694400,4.79,4.54,4.85,4.53,ok,136544.0,KRON,49.76076555023924
1660780800,4.47,4.52,4.59,4.41,ok,83877.0,KRON,54.166666666666664
1660867200,4.43,4.26,4.5,4.15,ok,267295.0,KRON,51.61290322580645
1661126400,4.19,4.0,4.24,3.95,ok,272172.0,KRON,42.44791666666667
1661212800,4.05,4.16,4.235,3.98,ok,295379.0,KRON,35.19061583577712
1661299200,4.19,4.335,4.49,4.14,ok,132345.0,KRON,33.83233532934132
1661385600,4.38,4.32,4.38,4.18,ok,131868.0,KRON,30.900621118012424
1661472000,4.3,3.94,4.3,3.81,ok,309523.0,KRON,29.87987987987988
1661731200,3.84,4.075,4.25,3.84,ok,165585.0,KRON,38.11129848229342
1661817600,4.235,4.06,4.235,4.0,ok,660857.0,KRON,34.16370106761566
1661904000,4.08,4.0,4.14,3.95,ok,163114.0,KRON,34.163701067615676
1661990400,3.95,4.22,4.31,3.92,ok,302966.0,KRON,27.165354330708666
1662076800,4.26,4.22,4.44,4.135,ok,199363.0,KRON,29.74137931034481
1662422400,4.3,4.2,4.32,4.03,ok,431637.0,KRON,33.990147783251246
1662508800,4.26,4.66,4.69,4.22,ok,200545.0,KRON,52.75229357798166
1662595200,4.69,4.78,4.91,4.47,ok,151045.0,KRON,55.70175438596493
1662681600,4.81,4.91,4.94,4.5261,ok,216690.0,KRON,65.11627906976744
1662940800,4.92,4.86,4.99,4.822,ok,111904.0,KRON,72.16494845360826
1663027200,4.58,4.67,4.76,4.46,ok,424313.0,KRON,62.94416243654822
1663113600,4.81,4.79,4.81,4.5673,ok,242162.0,KRON,61.879895561357706
1663200000,4.85,4.79,4.94,4.67,ok,150680.0,KRON,62.36842105263157
1663286400,4.72,4.57,4.98,4.49,ok,235290.0,KRON,68.10344827586208
1663545600,4.51,4.47,4.725,4.3,ok,112392.0,KRON,61.58357771260995
1663632000,4.36,4.35,4.49,4.27,ok,138860.0,KRON,58.01104972375691
1663718400,4.35,4.11,4.35,4.075,ok,129429.0,KRON,52.76381909547739
1663804800,4.05,3.82,4.06,3.79,ok,76357.0,KRON,40.29126213592233
1663891200,3.82,3.58,3.87,3.5,ok,152913.0,KRON,36.086956521739125
1664150400,3.52,3.52,3.7,3.48,ok,259910.0,KRON,35.470085470085465
1664236800,3.53,3.58,3.725,3.47,ok,199470.0,KRON,22.16494845360826
1664323200,3.72,3.73,3.8,3.57,ok,284068.0,KRON,23.350253807106597
1664409600,3.65,3.35,3.65,3.31,ok,159693.0,KRON,14.86486486486487
1664496000,3.41,3.35,3.55,3.31,ok,169206.0,KRON,15.20737327188941
1664755200,3.48,3.38,3.48,3.2,ok,141439.0,KRON,17.91044776119402
1664841600,3.51,3.44,3.56,3.37,ok,145755.0,KRON,15.384615384615373
1664928000,3.32,3.24,3.37,3.12,ok,157691.0,KRON,13.95348837209302
1665014400,3.2,3.2,3.27,3.16,ok,116001.0,KRON,15.228426395939081
1665100800,3.24,2.89,3.24,2.88,ok,256114.0,KRON,13.761467889908246
1665360000,2.9,2.91,3.09,2.9,ok,96912.0,KRON,15.384615384615387
1665446400,2.9,2.95,3.09,2.76,ok,123498.0,KRON,19.14893617021275
1665532800,2.93,2.86,2.9598,2.71,ok,95102.0,KRON,21.42857142857143
1665619200,2.75,2.96,3.02,2.72,ok,122080.0,KRON,29.87012987012986
1665705600,3.02,2.84,3.03,2.78,ok,86153.0,KRON,28.75
1665964800,2.9,2.91,3.035,2.85,ok,137634.0,KRON,29.19254658385094
1666051200,3.03,2.89,3.03,2.85,ok,61682.0,KRON,21.621621621621628
1666137600,2.86,2.76,2.93,2.71,ok,311954.0,KRON,26.016260162601625
1666224000,2.75,2.76,2.92,2.73,ok,57677.0,KRON,26.016260162601625
1666310400,2.79,2.83,2.86,2.66,ok,90920.0,KRON,28.34645669291342
1666569600,2.9,2.61,2.9,2.42,ok,174261.0,KRON,20.979020979021
1666656000,2.62,2.83,2.96,2.62,ok,290936.0,KRON,35.86206896551725
1666742400,2.84,2.76,2.98,2.74,ok,148600.0,KRON,35.135135135135144
1666828800,2.76,2.74,2.91,2.61,ok,121238.0,KRON,43.697478991596654
1666915200,2.77,2.92,2.92,2.7,ok,86823.0,KRON,50.37037037037035
1667174400,3.07,2.96,3.07,2.87,ok,204300.0,KRON,50.37037037037035
1667260800,3.0,2.89,3.04,2.78,ok,185332.0,KRON,51.12781954887219
1667347200,2.86,2.83,2.98,2.78,ok,89672.0,KRON,44.96124031007753
1667433600,2.77,2.59,2.86,2.58,ok,63074.0,KRON,41.13475177304965
1667520000,2.67,2.58,2.67,2.43,ok,133677.0,KRON,37.77777777777778
1667779200,2.6,2.5,2.6,2.47,ok,77130.0,KRON,36.170212765957444
1667865600,2.53,2.56,2.61,2.47,ok,83552.0,KRON,42.53731343283583
1667952000,2.49,2.32,2.57,2.29,ok,142817.0,KRON,36.07594936708861
1668038400,2.45,2.56,2.575,2.28,ok,407182.0,KRON,42.285714285714285
1668124800,2.56,2.55,2.66,2.37,ok,180167.0,KRON,48.051948051948045
1668384000,2.51,2.33,2.615,2.2923,ok,151081.0,KRON,33.76623376623377
1668470400,2.46,2.39,2.4941,2.34,ok,190065.0,KRON,37.90849673202615
1668556800,2.38,2.23,2.41,2.19,ok,111137.0,KRON,34.73053892215569
1668643200,2.2,2.17,2.22,2.11,ok,132239.0,KRON,25.80645161290323
1668729600,2.25,2.13,2.325,2.11,ok,186068.0,KRON,23.225806451612925
1668988800,2.16,1.99,2.2099,1.89,ok,171717.0,KRON,22.22222222222223
1669075200,2.02,2.01,2.03,1.89,ok,248787.0,KRON,24.0506329113924
1669161600,2.02,1.99,2.0999,1.95,ok,125313.0,KRON,27.941176470588246
1669334400,1.98,1.91,2.045,1.88,ok,106871.0,KRON,26.573426573426573
1669593600,1.91,1.79,1.935,1.74,ok,323496.0,KRON,25.850340136054427
1669680000,1.82,1.75,1.84,1.74,ok,172574.0,KRON,22.06896551724138
1669766400,1.75,1.9,1.91,1.7,ok,206120.0,KRON,34.55882352941177
1669852800,1.89,1.84,1.92,1.75,ok,121306.0,KRON,19.491525423728802
1669939200,1.8,1.84,1.85,1.75,ok,290729.0,KRON,19.658119658119645
1670198400,1.85,1.77,1.91,1.7,ok,298755.0,KRON,22.54901960784312
1670284800,1.77,1.67,1.77,1.62,ok,141082.0,KRON,16.037735849056574
1670371200,1.67,1.74,1.75,1.61,ok,220939.0,KRON,24.742268041237097
1670457600,1.74,1.72,1.7921,1.65,ok,213935.0,KRON,25.806451612903217
1670544000,1.71,1.76,1.78,1.65,ok,159303.0,KRON,30.107526881720418
1670803200,1.76,1.94,2.0,1.7,ok,379157.0,KRON,47.42268041237113
