t,o,c,h,l,s,v,Ticker,RSI
1652140800,11.34,11.81,12.25,10.895,ok,1040192.0,IMAB,
1652227200,11.88,10.51,11.88,10.435,ok,856048.0,IMAB,
1652313600,10.39,10.83,11.06,10.14,ok,845425.0,IMAB,
1652400000,11.04,12.0,12.23,10.985,ok,1026468.0,IMAB,
1652659200,11.96,11.99,12.23,11.539,ok,565401.0,IMAB,
1652745600,12.62,12.7,13.0,12.25,ok,940734.0,IMAB,
1652832000,12.23,12.06,12.675,11.98,ok,1015101.0,IMAB,
1652918400,11.98,12.2,12.665,11.98,ok,875258.0,IMAB,
1653004800,12.27,10.74,12.5,9.83,ok,1671518.0,IMAB,
1653264000,10.81,11.35,11.42,10.2002,ok,810246.0,IMAB,
1653350400,11.12,10.55,11.12,10.25,ok,648512.0,IMAB,
1653436800,10.6,10.63,10.86,9.95,ok,800540.0,IMAB,
1653523200,10.69,11.31,11.485,10.43,ok,504228.0,IMAB,
1653609600,11.4,8.27,11.495,8.12,ok,3987606.0,IMAB,33.85036496350364
1653955200,8.64,8.7,9.4499,8.37,ok,6697816.0,IMAB,36.34767339771729
1654041600,8.69,8.62,8.805,8.18,ok,987660.0,IMAB,40.7079646017699
1654128000,8.59,8.49,8.64,8.3,ok,1280296.0,IMAB,38.27655310621242
1654214400,8.4,8.53,9.06,8.33,ok,1207044.0,IMAB,30.395480225988678
1654473600,8.82,8.37,9.01,8.11,ok,924493.0,IMAB,29.88888888888887
1654560000,8.18,9.01,9.15,8.05,ok,793778.0,IMAB,29.33930571108621
1654646400,9.41,10.76,11.26,9.405,ok,1790487.0,IMAB,43.52589641434262
1654732800,10.49,10.3,10.615,9.94,ok,703566.0,IMAB,40.83011583011583
1654819200,10.24,9.52,10.43,9.405,ok,744088.0,IMAB,43.69834710743801
1655078400,9.08,8.9,9.23,8.665,ok,991368.0,IMAB,37.35810113519092
1655164800,8.89,9.06,9.13,8.5825,ok,592765.0,IMAB,41.767955801104975
1655251200,9.1,9.79,10.0,8.93,ok,596494.0,IMAB,45.6701030927835
1655337600,9.54,10.25,10.37,9.49,ok,675787.0,IMAB,44.40928270042194
1655424000,10.35,11.03,11.27,10.26,ok,2180145.0,IMAB,69.11357340720222
1655769600,11.5,11.88,12.01,11.22,ok,776435.0,IMAB,70.81151832460733
1655856000,11.26,11.49,11.74,11.0401,ok,559426.0,IMAB,68.05031446540882
1655942400,11.56,11.99,12.12,11.48,ok,377902.0,IMAB,71.03365384615384
1656028800,12.31,12.35,12.535,11.7,ok,593332.0,IMAB,72.10648148148148
1656288000,12.38,11.57,12.38,11.36,ok,820051.0,IMAB,67.27861771058315
1656374400,11.51,11.36,11.72,11.06,ok,305520.0,IMAB,63.306908267270664
1656460800,11.25,10.88,11.28,10.73,ok,241078.0,IMAB,50.793650793650805
1656547200,10.65,11.3,11.3,10.33,ok,523055.0,IMAB,56.648936170212764
1656633600,11.28,11.49,11.82,11.28,ok,315580.0,IMAB,64.21356421356421
1656979200,11.27,12.34,12.7,11.21,ok,657348.0,IMAB,74.02234636871509
1657065600,12.3,11.68,12.7588,11.5449,ok,453771.0,IMAB,67.1018276762402
1657152000,11.63,11.84,11.95,11.63,ok,453998.0,IMAB,64.45698166431595
1657238400,11.62,11.5,11.79,11.29,ok,619545.0,IMAB,58.96700143472024
1657497600,11.2,10.27,11.2175,10.25,ok,299632.0,IMAB,44.87870619946091
1657584000,10.4,10.48,10.545,10.16,ok,395513.0,IMAB,39.67551622418879
1657670400,10.06,10.02,10.42,9.85,ok,419716.0,IMAB,39.27007299270073
1657756800,9.9,9.08,10.09,9.02,ok,431636.0,IMAB,30.04115226337447
1657843200,9.08,8.95,9.08,8.31,ok,730771.0,IMAB,25.920679886685548
1658102400,9.05,9.3,9.6281,8.85,ok,377339.0,IMAB,32.88084464555054
1658188800,9.25,9.77,9.9,9.185,ok,414579.0,IMAB,38.46153846153846
1658275200,9.8,10.08,10.33,9.1,ok,882219.0,IMAB,44.047619047619044
1658361600,10.26,10.57,10.63,10.14,ok,323587.0,IMAB,44.62444771723122
1658448000,10.56,10.0,10.59,9.675,ok,348947.0,IMAB,39.609483960948396
1658707200,10.05,10.62,10.66,9.84,ok,241548.0,IMAB,37.60806916426513
1658793600,10.59,10.42,10.59,10.21,ok,247457.0,IMAB,40.27777777777778
1658880000,10.43,10.7,10.82,10.14,ok,200637.0,IMAB,41.36363636363636
1658966400,10.67,10.7,10.82,10.3512,ok,328279.0,IMAB,43.61022364217252
1659052800,10.5,10.48,10.56,10.14,ok,572970.0,IMAB,52.000000000000014
1659312000,10.31,8.53,10.37,6.52,ok,3137771.0,IMAB,36.05150214592274
1659398400,8.28,8.67,8.79,8.17,ok,885905.0,IMAB,39.88005997001499
1659484800,8.53,8.77,8.83,7.98,ok,563271.0,IMAB,47.34133790737564
1659571200,8.89,9.05,9.27,8.76,ok,320760.0,IMAB,50.8361204013378
1659657600,8.98,8.63,8.98,8.43,ok,361672.0,IMAB,44.46280991735537
1659916800,8.63,8.7,9.06,8.63,ok,375648.0,IMAB,40.53097345132743
1660003200,8.67,7.97,8.69,7.9,ok,300192.0,IMAB,32.61943986820427
1660089600,8.05,8.09,8.1378,7.77,ok,463812.0,IMAB,28.245614035087698
1660176000,8.33,7.96,8.4388,7.89,ok,530168.0,IMAB,30.608365019011387
1660262400,7.96,7.98,8.05,7.82,ok,390748.0,IMAB,21.673819742489272
1660521600,7.97,7.97,8.1088,7.83,ok,292829.0,IMAB,22.595078299776276
1660608000,7.9,7.97,8.02,7.74,ok,249260.0,IMAB,17.42243436754177
1660694400,7.62,6.83,7.66,6.53,ok,1822526.0,IMAB,13.696060037523452
1660780800,6.72,6.19,6.83,5.85,ok,2122754.0,IMAB,12.695652173913047
1660867200,6.0,6.01,6.1288,5.85,ok,955352.0,IMAB,18.341708542713576
1661126400,5.92,5.75,6.1788,5.59,ok,1695668.0,IMAB,14.390243902439025
1661212800,6.04,6.02,6.9788,5.83,ok,1919709.0,IMAB,17.798594847775178
1661299200,6.0,6.3,6.5288,5.95,ok,524194.0,IMAB,17.798594847775163
1661385600,6.44,5.95,6.46,5.89,ok,955619.0,IMAB,18.095238095238074
1661472000,6.27,6.0,6.27,5.88,ok,596519.0,IMAB,17.703349282296656
1661731200,5.8,5.83,6.0334,5.57,ok,785466.0,IMAB,20.441988950276254
1661817600,6.02,5.98,6.07,5.83,ok,713721.0,IMAB,21.0958904109589
1661904000,6.01,6.13,6.39,5.8,ok,856171.0,IMAB,25.068119891008166
1661990400,6.04,6.29,6.32,6.02,ok,899385.0,IMAB,27.82152230971127
1662076800,6.37,5.91,6.38,5.86,ok,708719.0,IMAB,25.358851674641144
1662422400,5.92,5.59,5.96,5.59,ok,499873.0,IMAB,23.555555555555543
1662508800,5.59,5.71,5.7888,5.39,ok,535183.0,IMAB,33.9080459770115
1662595200,5.65,5.7,5.79,5.5,ok,576740.0,IMAB,41.40350877192982
1662681600,5.76,5.77,6.0,5.6,ok,724061.0,IMAB,45.62043795620437
1662940800,5.78,5.58,5.83,5.41,ok,917099.0,IMAB,46.81647940074906
1663027200,5.45,5.41,5.4891,5.265,ok,548374.0,IMAB,38.132295719844365
1663113600,5.32,5.32,5.3888,5.19,ok,526819.0,IMAB,29.411764705882348
1663200000,5.27,5.42,5.51,5.27,ok,466782.0,IMAB,37.55868544600937
1663286400,5.29,5.08,5.35,5.05,ok,1528709.0,IMAB,30.991735537190067
1663545600,5.01,5.0,5.07,4.885,ok,547686.0,IMAB,32.18884120171673
1663632000,4.94,5.0,5.0502,4.91,ok,241546.0,IMAB,27.52293577981648
1663718400,4.93,4.75,5.03,4.75,ok,445856.0,IMAB,19.73684210526315
1663804800,4.76,4.67,4.805,4.6,ok,361541.0,IMAB,13.181818181818159
1663891200,4.55,4.59,4.63,4.47,ok,433532.0,IMAB,15.263157894736807
1664150400,4.47,4.55,4.68,4.47,ok,364377.0,IMAB,17.901234567901213
