t,o,c,h,l,s,v,Ticker
1652140800,6.09,6.08,6.575,5.8936,ok,13669.0,RGF
1652227200,5.8,6.05,6.3,5.8,ok,28301.0,RGF
1652313600,6.05,6.3,6.4699,5.77,ok,38039.0,RGF
1652400000,6.9,6.93,7.3,6.755,ok,22652.0,RGF
1652659200,7.1,6.41,7.11,6.41,ok,10288.0,RGF
1652745600,6.5669,6.7,6.7,6.5669,ok,2656.0,RGF
1652832000,6.5517,6.1,6.58,6.1,ok,23135.0,RGF
1652918400,6.5233,6.39,6.655,6.39,ok,5126.0,RGF
1653004800,6.634,6.22,6.75,6.17,ok,8681.0,RGF
1653264000,6.43,6.47,6.47,5.9465,ok,6578.0,RGF
1653350400,6.46,5.945,6.46,5.9,ok,11217.0,RGF
1653436800,6.1,6.15,6.4578,5.95,ok,4349.0,RGF
1653523200,6.2,6.3,6.3,5.9067,ok,10216.0,RGF
1653609600,6.08,5.96,6.33,5.91,ok,5599.0,RGF
1653955200,6.22,6.74,6.74,5.99,ok,7590.0,RGF
1654041600,6.78,6.47,6.94,6.47,ok,7550.0,RGF
1654128000,6.58,6.2,6.65,6.16,ok,11784.0,RGF
1654214400,6.39,6.15,6.8047,6.02,ok,8919.0,RGF
1654473600,6.16,6.44,6.4779,6.16,ok,19286.0,RGF
1654560000,6.396,6.16,6.776,6.1,ok,5669.0,RGF
1654646400,6.16,6.25,6.36,6.0536,ok,19631.0,RGF
1654732800,6.37,6.4,6.67,6.2146,ok,18136.0,RGF
1654819200,6.32,6.07,6.43,6.07,ok,8240.0,RGF
1655078400,6.28,6.0,6.35,6.0,ok,17011.0,RGF
1655164800,5.95,6.03,6.4073,5.95,ok,31671.0,RGF
1655251200,6.01,5.99,6.03,5.92,ok,7250.0,RGF
1655337600,5.9,5.9,6.1048,5.8001,ok,8102.0,RGF
1655424000,5.9667,6.3,6.3,5.9,ok,21029.0,RGF
1655769600,6.38,6.5,6.5,5.9626,ok,6297.0,RGF
1655856000,6.43,6.51,6.75,6.43,ok,17946.0,RGF
1655942400,6.97,6.68,6.97,6.58,ok,4063.0,RGF
1656028800,6.68,6.82,6.82,6.5811,ok,7723.0,RGF
1656288000,6.84,6.76,6.86,6.673,ok,7970.0,RGF
1656374400,6.48,6.71,7.015,6.48,ok,7339.0,RGF
1656460800,6.4,6.73,6.8688,6.4,ok,17282.0,RGF
1656547200,6.94,7.03,7.03,6.7,ok,13460.0,RGF
1656633600,6.5,6.72,7.17,6.5,ok,10999.0,RGF
1656979200,6.4,6.43,6.9435,6.35,ok,5441.0,RGF
1657065600,6.37,6.82,6.9947,6.37,ok,8153.0,RGF
1657152000,6.7984,6.735,6.99,6.46,ok,6882.0,RGF
1657238400,6.9082,6.51,6.91,6.51,ok,5410.0,RGF
1657497600,6.94,6.57,6.98,6.55,ok,6403.0,RGF
1657584000,6.33,6.94,7.1,6.33,ok,15936.0,RGF
1657670400,6.75,6.665,6.755,6.665,ok,2741.0,RGF
1657756800,7.0224,6.65,7.0224,6.65,ok,3617.0,RGF
1657843200,6.71,6.56,6.78,6.56,ok,2886.0,RGF
1658102400,6.54,6.07,6.66,6.07,ok,12000.0,RGF
1658188800,6.31,6.4,6.91,6.31,ok,9170.0,RGF
1658275200,6.6,6.36,6.6,6.36,ok,1060.0,RGF
1658361600,6.88,6.54,6.88,6.385,ok,4753.0,RGF
1658448000,6.6173,6.25,6.6173,6.25,ok,6430.0,RGF
