t,o,c,h,l,s,v,Ticker,RSI
1652140800,7.13,7.07,7.5,7.0001,ok,17356.0,MARPS,
1652227200,7.05,7.02,7.8,6.9476,ok,122036.0,MARPS,
1652313600,6.96,7.14,7.3,6.7801,ok,98569.0,MARPS,
1652400000,7.05,7.49,7.6999,6.86,ok,68408.0,MARPS,
1652659200,7.5,8.06,9.4699,7.5,ok,331573.0,MARPS,
1652745600,8.12,7.74,8.6,7.5101,ok,285097.0,MARPS,
1652832000,7.75,7.65,8.0117,7.5,ok,62328.0,MARPS,
1652918400,7.18,7.21,7.96,7.106,ok,359715.0,MARPS,
1653004800,7.28,7.17,7.5628,6.819,ok,84755.0,MARPS,
1653264000,7.34,7.44,7.54,6.8826,ok,90554.0,MARPS,
1653350400,7.45,7.29,7.5444,7.1,ok,23536.0,MARPS,
1653436800,7.47,7.5,7.68,7.2,ok,58001.0,MARPS,
1653523200,7.6,7.84,8.25,7.295,ok,116519.0,MARPS,
1653609600,7.63,7.7,8.152,7.21,ok,220698.0,MARPS,60.194174757281544
1653955200,9.3,8.82,10.19,8.75,ok,370563.0,MARPS,70.7838479809976
1654041600,8.84,8.42,9.0,8.08,ok,195285.0,MARPS,65.35087719298245
1654128000,7.98,8.18,8.82,7.95,ok,160310.0,MARPS,61.11111111111111
1654214400,8.3009,8.88,8.94,7.9,ok,209560.0,MARPS,63.81709741550696
1654473600,8.8,8.23,8.95,8.21,ok,53530.0,MARPS,51.66340508806262
1654560000,8.26,9.26,9.32,8.15,ok,330749.0,MARPS,63.05841924398624
1654646400,9.32,9.66,11.5,8.8001,ok,1008132.0,MARPS,66.39477977161499
1654732800,9.48,9.15,10.1867,9.0,ok,114771.0,MARPS,65.64516129032259
1654819200,8.96,8.71,9.1272,8.4501,ok,107432.0,MARPS,61.666666666666664
1655078400,8.19,7.72,8.2979,7.3101,ok,226278.0,MARPS,51.91256830601092
1655164800,8.82,7.06,9.1499,6.75,ok,469409.0,MARPS,48.53128991060026
1655251200,6.8,7.09,7.7,6.77,ok,123116.0,MARPS,47.32026143790849
1655337600,6.7,6.75,7.3242,6.6435,ok,132918.0,MARPS,42.87581699346406
1655424000,6.76,6.51,7.19,6.3,ok,101631.0,MARPS,42.32258064516129
1655769600,7.9,7.51,7.92,7.08,ok,115814.0,MARPS,41.41546526867628
1655856000,7.02,7.39,7.51,6.83,ok,26145.0,MARPS,42.993197278911566
1655942400,7.28,7.29,7.4999,7.0601,ok,19756.0,MARPS,43.828016643550626
1656028800,7.33,7.5,7.98,7.33,ok,46773.0,MARPS,39.73214285714285
1656288000,7.54,7.83,7.92,7.37,ok,14588.0,MARPS,46.875
1656374400,8.15,7.77,8.18,7.5966,ok,16688.0,MARPS,36.27992633517496
1656460800,7.81,7.77,8.17,7.6263,ok,41335.0,MARPS,31.212723658051686
1656547200,7.77,7.44,7.77,7.4,ok,19807.0,MARPS,32.371134020618555
1656633600,7.6201,7.44,7.6401,7.4001,ok,10823.0,MARPS,35.60090702947846
1656979200,7.3,7.01,7.3,6.53,ok,34368.0,MARPS,40.77922077922078
1657065600,6.86,6.75,7.3,6.75,ok,23463.0,MARPS,45.5072463768116
1657152000,7.0,7.29,7.77,7.0,ok,14619.0,MARPS,52.52525252525253
1657238400,7.32,7.52,7.9,7.2,ok,28243.0,MARPS,60.0
