t,o,c,h,l,s,v,Ticker
1652140800,1.64,1.56,1.66,1.56,ok,31586.0,MMMB
1652227200,1.57,1.65,1.65,1.57,ok,18502.0,MMMB
1652313600,1.56,1.6,1.64,1.56,ok,17804.0,MMMB
1652400000,1.58,1.64,1.6476,1.55,ok,21626.0,MMMB
1652659200,1.6,1.55,1.64,1.5301,ok,25442.0,MMMB
1652745600,1.55,1.59,1.63,1.5,ok,52208.0,MMMB
1652832000,1.59,1.39,1.59,1.39,ok,81075.0,MMMB
1652918400,1.4,1.36,1.42,1.3,ok,154447.0,MMMB
1653004800,1.32,1.18,1.37,1.16,ok,134285.0,MMMB
1653264000,1.26,1.24,1.38,1.23,ok,49929.0,MMMB
1653350400,1.24,1.13,1.265,1.13,ok,63816.0,MMMB
1653436800,1.13,1.15,1.249,1.13,ok,56892.0,MMMB
1653523200,1.2392,1.18,1.26,1.18,ok,26536.0,MMMB
1653609600,1.18,1.24,1.2498,1.18,ok,46157.0,MMMB
1653955200,1.21,1.45,1.459,1.1813,ok,85396.0,MMMB
1654041600,1.42,1.4,1.4492,1.3546,ok,20670.0,MMMB
1654128000,1.4,1.35,1.44,1.35,ok,16432.0,MMMB
1654214400,1.37,1.42,1.42,1.36,ok,9329.0,MMMB
1654473600,1.37,1.45,1.45,1.36,ok,26405.0,MMMB
1654560000,1.4359,1.43,1.47,1.42,ok,24349.0,MMMB
1654646400,1.4527,1.5,1.5199,1.4527,ok,8720.0,MMMB
1654732800,1.64,1.54,1.64,1.5001,ok,15944.0,MMMB
1654819200,1.498,1.53,1.561,1.4801,ok,32454.0,MMMB
1655078400,1.47,1.48,1.5,1.45,ok,31008.0,MMMB
1655164800,1.5299,1.44,1.5299,1.35,ok,27809.0,MMMB
1655251200,1.35,1.42,1.49,1.35,ok,29076.0,MMMB
1655337600,1.42,1.4,1.4499,1.35,ok,14493.0,MMMB
1655424000,1.49,1.4,1.49,1.33,ok,29030.0,MMMB
1655769600,1.34,1.4,1.4,1.34,ok,6652.0,MMMB
1655856000,1.32,1.37,1.37,1.27,ok,35193.0,MMMB
1655942400,1.25,1.19,1.29,1.16,ok,118855.0,MMMB
1656028800,1.24,1.36,1.36,1.1901,ok,69265.0,MMMB
1656288000,1.39,1.31,1.4,1.31,ok,28098.0,MMMB
1656374400,1.4,1.32,1.4,1.3189,ok,4742.0,MMMB
1656460800,1.2901,1.29,1.34,1.29,ok,2019.0,MMMB
1656547200,1.348,1.4,1.43,1.2938,ok,30624.0,MMMB
1656633600,1.43,1.4,1.45,1.3,ok,14787.0,MMMB
1656979200,1.4325,1.38,1.475,1.38,ok,12716.0,MMMB
