t,o,c,h,l,s,v,Ticker
1652140800,1.0,1.0928,1.0928,1.0,ok,28879.0,UPC
1652227200,1.0816,1.088,1.22,1.08,ok,25649.0,UPC
1652313600,1.04,1.09,1.158,1.04,ok,14462.0,UPC
1652400000,1.07,1.09,1.1,1.05,ok,6609.0,UPC
1652659200,1.0458,1.0973,1.0973,1.0458,ok,2322.0,UPC
1652745600,1.0201,1.02,1.0492,0.9805,ok,57217.0,UPC
1652832000,1.018,1.12,1.29,0.998,ok,1822585.0,UPC
1652918400,1.16,1.06,1.24,1.05,ok,344982.0,UPC
1653004800,1.13,1.12,1.13,1.0525,ok,23015.0,UPC
1653264000,1.09,1.0901,1.16,1.08,ok,83362.0,UPC
1653350400,1.09,1.0664,1.1088,1.04,ok,221823.0,UPC
1653436800,1.0236,1.0128,1.065,0.96,ok,35299.0,UPC
1653523200,1.068,1.03,1.07,1.01,ok,5158.0,UPC
1653609600,1.0,0.9201,1.03,0.9,ok,180447.0,UPC
1653955200,0.9498,1.1,1.1,0.92,ok,963558.0,UPC
1654041600,1.05,1.0,1.24,0.9527,ok,694297.0,UPC
1654128000,0.9611,0.998,1.02,0.9611,ok,13394.0,UPC
1654214400,1.008,0.9705,1.01,0.9601,ok,16006.0,UPC
1654473600,0.96,0.9973,1.0,0.95,ok,33746.0,UPC
1654560000,0.98,0.98,1.0,0.952,ok,5989.0,UPC
1654646400,1.0,0.99,1.01,0.96,ok,32532.0,UPC
1654732800,0.98,1.0,1.01,0.98,ok,17527.0,UPC
1654819200,0.9828,1.0,1.03,0.98,ok,40133.0,UPC
1655078400,1.0,0.975,1.0,0.942,ok,34789.0,UPC
1655164800,1.0,0.9973,1.09,0.911,ok,85540.0,UPC
1655251200,1.04,0.9916,1.04,0.92,ok,18654.0,UPC
1655337600,0.99,0.9641,0.99,0.9,ok,29833.0,UPC
1655424000,0.9012,0.925,0.955,0.9,ok,8150.0,UPC
1655769600,0.925,0.995,0.9992,0.925,ok,10654.0,UPC
1655856000,0.9281,0.9912,0.9912,0.9281,ok,722.0,UPC
1655942400,0.921,0.9799,0.9929,0.921,ok,10132.0,UPC
1656028800,0.95,0.659,0.95,0.59,ok,1147499.0,UPC
1656288000,0.6201,0.6416,0.6699,0.55,ok,187790.0,UPC
1656374400,0.62,0.6505,0.677,0.62,ok,94640.0,UPC
1656460800,0.6399,0.66,0.67,0.62,ok,34454.0,UPC
1656547200,0.66,0.6276,0.66,0.6144,ok,43482.0,UPC
1656633600,0.6599,0.6573,0.66,0.6125,ok,9098.0,UPC
1656979200,0.65,0.6123,0.65,0.6027,ok,33584.0,UPC
1657065600,0.6227,0.62,0.6298,0.61,ok,9475.0,UPC
1657152000,0.6101,0.6099,0.6101,0.57,ok,80599.0,UPC
1657238400,0.62,0.62,0.63,0.573,ok,23023.0,UPC
1657497600,0.5975,0.6151,0.62,0.573,ok,12669.0,UPC
1657584000,0.6101,0.61,0.6101,0.575,ok,24086.0,UPC
1657670400,0.573,0.6178,0.6178,0.5611,ok,24548.0,UPC
1657756800,0.573,0.59,0.607,0.573,ok,16632.0,UPC
1657843200,0.574,0.6073,0.6073,0.573,ok,7790.0,UPC
1658102400,0.58,0.59,0.609,0.58,ok,5766.0,UPC
