date, open, high, low, close, adjusted close, volume, dividend amount, split coefficient,ticker
2022-02-04,4.76,5.0,4.66,4.98,4.98,224913,0.0000,1.0,ABOS
2022-02-03,4.86,4.98,4.62,4.79,4.79,142293,0.0000,1.0,ABOS
2022-02-02,5.2,5.2,4.7,4.98,4.98,228140,0.0000,1.0,ABOS
2022-02-01,5.12,5.3453,5.1,5.22,5.22,504244,0.0000,1.0,ABOS
2022-01-31,5.01,5.21,4.96,5.12,5.12,364344,0.0000,1.0,ABOS
2022-01-28,4.81,5.0835,4.6,5.01,5.01,473250,0.0000,1.0,ABOS
2022-01-27,4.97,4.97,4.615,4.85,4.85,212786,0.0000,1.0,ABOS
2022-01-26,5.15,5.25,4.81,4.98,4.98,875639,0.0000,1.0,ABOS
2022-01-25,5.16,5.24,4.853,5.09,5.09,720921,0.0000,1.0,ABOS
2022-01-24,5.15,5.24,4.89,5.23,5.23,303849,0.0000,1.0,ABOS
2022-01-21,5.2,5.3865,4.97,5.18,5.18,205542,0.0000,1.0,ABOS
2022-01-20,5.25,5.4274,4.95,4.99,4.99,114667,0.0000,1.0,ABOS
2022-01-19,5.2,5.4499,5.14,5.19,5.19,156886,0.0000,1.0,ABOS
2022-01-18,5.27,5.8,5.04,5.04,5.04,125622,0.0000,1.0,ABOS
2022-01-14,5.28,5.46,5.115,5.38,5.38,59351,0.0000,1.0,ABOS
2022-01-13,5.26,5.7299,5.085,5.4,5.4,144502,0.0000,1.0,ABOS
2022-01-12,5.965,5.965,5.25,5.26,5.26,70476,0.0000,1.0,ABOS
2022-01-11,5.4991,5.94,5.4,5.64,5.64,105185,0.0000,1.0,ABOS
2022-01-10,5.65,5.75,5.42,5.51,5.51,94968,0.0000,1.0,ABOS
2022-01-07,5.7,6.045,5.65,5.75,5.75,103738,0.0000,1.0,ABOS
2022-01-06,5.95,6.1,5.65,5.73,5.73,57109,0.0000,1.0,ABOS
2022-01-05,6.36,6.57,6.0,6.01,6.01,198041,0.0000,1.0,ABOS
2022-01-04,6.76,6.88,6.3,6.37,6.37,221275,0.0000,1.0,ABOS
2022-01-03,6.86,7.035,6.525,6.73,6.73,329542,0.0000,1.0,ABOS
2021-12-31,6.81,7.095,6.7,6.76,6.76,203016,0.0000,1.0,ABOS
2021-12-30,6.73,7.25,6.55,6.9,6.9,245881,0.0000,1.0,ABOS
2021-12-29,6.74,6.76,6.49,6.65,6.65,68474,0.0000,1.0,ABOS
2021-12-28,6.82,6.96,6.65,6.65,6.65,74697,0.0000,1.0,ABOS
2021-12-27,7.0,7.08,6.77,6.83,6.83,109286,0.0000,1.0,ABOS
2021-12-23,7.07,7.19,6.84,7.07,7.07,141822,0.0000,1.0,ABOS
2021-12-22,7.28,7.28,6.9,7.04,7.04,87377,0.0000,1.0,ABOS
2021-12-21,6.96,7.08,6.81,7.07,7.07,249300,0.0000,1.0,ABOS
2021-12-20,6.88,7.11,6.56,6.96,6.96,244869,0.0000,1.0,ABOS
2021-12-17,6.87,7.14,6.2006,6.88,6.88,535541,0.0000,1.0,ABOS
2021-12-16,7.0,7.11,6.79,6.94,6.94,244501,0.0000,1.0,ABOS
2021-12-15,6.6,7.06,6.23,6.9,6.9,285186,0.0000,1.0,ABOS
2021-12-14,6.66,6.96,6.4,6.54,6.54,101555,0.0000,1.0,ABOS
2021-12-13,7.12,7.255,6.39,6.76,6.76,151233,0.0000,1.0,ABOS
2021-12-10,7.35,7.35,6.935,7.04,7.04,97019,0.0000,1.0,ABOS
2021-12-09,7.45,7.45,7.11,7.22,7.22,120890,0.0000,1.0,ABOS
2021-12-08,7.54,7.83,7.25,7.61,7.61,107518,0.0000,1.0,ABOS
2021-12-07,7.54,7.76,7.18,7.54,7.54,141251,0.0000,1.0,ABOS
2021-12-06,7.86,7.95,7.11,7.46,7.46,214474,0.0000,1.0,ABOS
2021-12-03,8.25,8.4,7.7327,7.81,7.81,80006,0.0000,1.0,ABOS
2021-12-02,7.55,8.47,7.52,8.13,8.13,181760,0.0000,1.0,ABOS
2021-12-01,8.08,8.16,7.435,7.58,7.58,80941,0.0000,1.0,ABOS
2021-11-30,8.08,8.09,7.65,7.9,7.9,150393,0.0000,1.0,ABOS
2021-11-29,8.52,9.105,7.95,8.12,8.12,64711,0.0000,1.0,ABOS
2021-11-26,8.74,8.78,8.13,8.27,8.27,49101,0.0000,1.0,ABOS
2021-11-24,8.88,9.095,8.14,9.0,9.0,69216,0.0000,1.0,ABOS
2021-11-23,9.6,9.685,8.92,9.0,9.0,114932,0.0000,1.0,ABOS
2021-11-22,9.94,10.52,9.5,9.7,9.7,90268,0.0000,1.0,ABOS
2021-11-19,10.22,11.24,9.64,9.86,9.86,51111,0.0000,1.0,ABOS
2021-11-18,10.84,10.84,10.02,10.29,10.29,62765,0.0000,1.0,ABOS
2021-11-17,10.65,10.97,9.9,10.77,10.77,127301,0.0000,1.0,ABOS
2021-11-16,11.89,11.89,10.58,10.73,10.73,55645,0.0000,1.0,ABOS
2021-11-15,13.21,13.21,11.65,11.85,11.85,70684,0.0000,1.0,ABOS
2021-11-12,13.63,13.6777,12.82,12.95,12.95,24908,0.0000,1.0,ABOS
2021-11-11,14.33,14.33,13.33,13.41,13.41,18512,0.0000,1.0,ABOS
2021-11-10,14.69,14.95,13.96,14.13,14.13,30981,0.0000,1.0,ABOS
2021-11-09,14.8,14.8,14.11,14.78,14.78,31683,0.0000,1.0,ABOS
2021-11-08,14.92,15.12,14.43,14.58,14.58,24508,0.0000,1.0,ABOS
2021-11-05,14.96,14.96,14.59,14.88,14.88,31071,0.0000,1.0,ABOS
2021-11-04,14.49,14.9,14.3001,14.73,14.73,37228,0.0000,1.0,ABOS
2021-11-03,13.61,14.54,13.3416,14.42,14.42,32699,0.0000,1.0,ABOS
2021-11-02,13.7,14.91,13.1,13.54,13.54,51693,0.0000,1.0,ABOS
2021-11-01,14.05,14.72,13.61,13.87,13.87,27724,0.0000,1.0,ABOS
2021-10-29,14.18,14.485,13.88,14.05,14.05,46283,0.0000,1.0,ABOS
2021-10-28,14.71,14.84,14.235,14.4,14.4,45256,0.0000,1.0,ABOS
2021-10-27,15.13,15.3399,14.44,14.59,14.59,59278,0.0000,1.0,ABOS
2021-10-26,14.15,15.295,14.0,15.23,15.23,80872,0.0000,1.0,ABOS
2021-10-25,14.4,14.5351,13.84,14.41,14.41,25899,0.0000,1.0,ABOS
2021-10-22,14.65,14.65,13.84,14.38,14.38,40670,0.0000,1.0,ABOS
2021-10-21,14.22,14.65,14.16,14.56,14.56,35377,0.0000,1.0,ABOS
2021-10-20,14.01,14.41,13.59,14.16,14.16,30108,0.0000,1.0,ABOS
2021-10-19,13.46,13.95,13.15,13.88,13.88,49458,0.0000,1.0,ABOS
2021-10-18,13.58,13.58,12.84,13.46,13.46,67307,0.0000,1.0,ABOS
2021-10-15,14.17,14.29,13.05,13.55,13.55,45631,0.0000,1.0,ABOS
2021-10-14,14.5,14.5,13.72,13.93,13.93,50318,0.0000,1.0,ABOS
2021-10-13,13.42,14.53,13.165,14.39,14.39,80085,0.0000,1.0,ABOS
2021-10-12,13.12,13.535,13.0,13.47,13.47,31694,0.0000,1.0,ABOS
2021-10-11,13.5,13.88,12.7,13.09,13.09,62381,0.0000,1.0,ABOS
2021-10-08,14.7,14.8202,13.41,13.45,13.45,71630,0.0000,1.0,ABOS
2021-10-07,14.97,14.97,14.31,14.8,14.8,60099,0.0000,1.0,ABOS
2021-10-06,15.22,15.25,14.46,14.85,14.85,96097,0.0000,1.0,ABOS
2021-10-05,15.17,15.64,14.73,15.31,15.31,127999,0.0000,1.0,ABOS
2021-10-04,15.37,15.5,14.76,15.15,15.15,90621,0.0000,1.0,ABOS
2021-10-01,14.8,15.42,14.12,15.27,15.27,90968,0.0000,1.0,ABOS
2021-09-30,14.89,15.105,14.66,14.86,14.86,57857,0.0000,1.0,ABOS
2021-09-29,14.72,15.445,14.56,14.85,14.85,46928,0.0000,1.0,ABOS
2021-09-28,15.66,16.005,14.6,14.7,14.7,210473,0.0000,1.0,ABOS
2021-09-27,15.94,16.29,15.47,15.92,15.92,179607,0.0000,1.0,ABOS
2021-09-24,15.96,16.5,15.29,16.14,16.14,227626,0.0000,1.0,ABOS
2021-09-23,15.68,16.5,14.89,16.12,16.12,244793,0.0000,1.0,ABOS
2021-09-22,15.01,15.88,15.01,15.53,15.53,105744,0.0000,1.0,ABOS
2021-09-21,14.73,15.58,14.61,15.04,15.04,404027,0.0000,1.0,ABOS
2021-09-20,16.1,16.42,14.52,14.76,14.76,459518,0.0000,1.0,ABOS
2021-09-17,16.18,17.71,15.855,16.23,16.23,1542878,0.0000,1.0,ABOS
2021-09-16,15.31,16.43,15.11,16.18,16.18,405200,0.0000,1.0,ABOS
2021-09-15,15.77,16.22,14.9,15.33,15.33,491538,0.0000,1.0,ABOS
2021-09-14,15.81,16.62,15.36,15.95,15.95,334962,0.0000,1.0,ABOS
2021-09-13,16.89,17.67,15.61,16.03,16.03,184332,0.0000,1.0,ABOS
2021-09-10,17.75,18.6992,17.0,17.0,17.0,128685,0.0000,1.0,ABOS
2021-09-09,18.35,18.68,17.26,17.7,17.7,164028,0.0000,1.0,ABOS
2021-09-08,18.52,18.95,17.95,18.32,18.32,327804,0.0000,1.0,ABOS
2021-09-07,15.83,19.0,15.83,18.31,18.31,583580,0.0000,1.0,ABOS
2021-09-03,15.3,15.9,15.045,15.59,15.59,152680,0.0000,1.0,ABOS
2021-09-02,17.36,17.45,14.91,15.27,15.27,312865,0.0000,1.0,ABOS
2021-09-01,18.0,18.03,16.79,17.29,17.29,97439,0.0000,1.0,ABOS
2021-08-31,18.96,19.13,17.5,17.92,17.92,80469,0.0000,1.0,ABOS
2021-08-30,18.91,19.46,18.53,18.85,18.85,101770,0.0000,1.0,ABOS
2021-08-27,17.48,19.27,17.2116,18.68,18.68,172688,0.0000,1.0,ABOS
2021-08-26,17.07,18.1899,16.44,17.45,17.45,267759,0.0000,1.0,ABOS
2021-08-25,17.16,17.7632,16.84,17.21,17.21,137365,0.0000,1.0,ABOS
2021-08-24,17.72,17.9478,16.84,17.06,17.06,94805,0.0000,1.0,ABOS
2021-08-23,17.59,17.78,17.03,17.58,17.58,113363,0.0000,1.0,ABOS
2021-08-20,16.83,17.475,16.74,17.28,17.28,164401,0.0000,1.0,ABOS
2021-08-19,15.65,16.79,15.65,16.69,16.69,113478,0.0000,1.0,ABOS
2021-08-18,15.34,16.32,15.26,16.04,16.04,201377,0.0000,1.0,ABOS
2021-08-17,15.03,15.71,15.0,15.41,15.41,90853,0.0000,1.0,ABOS
2021-08-16,15.3001,15.385,14.95,15.29,15.29,62313,0.0000,1.0,ABOS
2021-08-13,15.1,15.45,14.9,15.17,15.17,87004,0.0000,1.0,ABOS
2021-08-12,14.79,15.09,14.79,14.9,14.9,64404,0.0000,1.0,ABOS
2021-08-11,15.13,15.15,14.66,14.82,14.82,58715,0.0000,1.0,ABOS
2021-08-10,15.01,15.1084,14.7,14.75,14.75,89963,0.0000,1.0,ABOS
2021-08-09,15.11,15.2,14.8,15.04,15.04,69968,0.0000,1.0,ABOS
2021-08-06,14.89,15.1832,14.8,15.01,15.01,76923,0.0000,1.0,ABOS
2021-08-05,14.85,15.36,14.75,14.99,14.99,88258,0.0000,1.0,ABOS
2021-08-04,15.08,16.01,14.61,14.65,14.65,81602,0.0000,1.0,ABOS
2021-08-03,15.35,15.85,14.7,14.95,14.95,274834,0.0000,1.0,ABOS
2021-08-02,15.41,16.24,14.5,15.27,15.27,1018288,0.0000,1.0,ABOS
2021-07-30,14.87,15.675,14.85,15.48,15.48,149422,0.0000,1.0,ABOS
2021-07-29,14.77,16.125,14.34,15.32,15.32,144461,0.0000,1.0,ABOS
2021-07-28,14.61,15.76,13.95,14.9,14.9,291532,0.0000,1.0,ABOS
2021-07-27,16.93,17.52,14.41,14.5,14.5,314483,0.0000,1.0,ABOS
2021-07-26,17.17,19.68,16.56,16.57,16.57,135007,0.0000,1.0,ABOS
2021-07-23,16.87,17.3085,16.48,17.08,17.08,95502,0.0000,1.0,ABOS
2021-07-22,17.51,17.585,16.77,17.13,17.13,62170,0.0000,1.0,ABOS
2021-07-21,18.31,19.095,17.15,17.17,17.17,109855,0.0000,1.0,ABOS
2021-07-20,19.11,19.59,18.31,18.51,18.51,114261,0.0000,1.0,ABOS
2021-07-19,17.76,20.29,17.274,19.11,19.11,82821,0.0000,1.0,ABOS
2021-07-16,17.17,18.24,16.49,17.86,17.86,151295,0.0000,1.0,ABOS
2021-07-15,18.35,18.92,17.21,17.3,17.3,98805,0.0000,1.0,ABOS
2021-07-14,18.6,19.1,18.0009,18.34,18.34,120272,0.0000,1.0,ABOS
2021-07-13,18.36,19.0,18.09,18.94,18.94,81198,0.0000,1.0,ABOS
2021-07-12,19.06,19.48,17.9,18.5,18.5,245749,0.0000,1.0,ABOS
2021-07-09,17.78,19.5698,17.78,18.9,18.9,46083,0.0000,1.0,ABOS
2021-07-08,18.55,18.62,17.03,17.78,17.78,120804,0.0000,1.0,ABOS
2021-07-07,20.04,20.0681,18.36,18.75,18.75,169157,0.0000,1.0,ABOS
2021-07-06,19.31,20.59,18.01,20.2,20.2,151625,0.0000,1.0,ABOS
2021-07-02,19.5,20.99,16.9275,20.28,20.28,414727,0.0000,1.0,ABOS
2021-07-01,25.07,26.98,18.9,20.1,20.1,2246748,0.0000,1.0,ABOS
