t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,6.56,6.57,6.85,6.5,ok,30279.0,ARBE,,6.640000000000001,201052.56000000003,30279.0,6.640000000000001,,0.0
1652227200,6.93,6.02,6.93,6.02,ok,18234.0,ARBE,,6.323333333333333,115299.66,48513.0,2.3766755302702367,,0.0
1652313600,6.05,6.28,6.49,5.91,ok,23439.0,ARBE,,6.226666666666667,145946.84,71952.0,2.0283917055814986,,0.0
1652400000,6.39,6.21,6.74,5.98,ok,24021.0,ARBE,,6.31,151572.50999999998,95973.0,1.579324497514926,,0.0
1652659200,6.3,6.31,6.4799,6.27,ok,16221.0,ARBE,,6.3533,103056.8793,112194.0,0.918559631531098,,0.0
1652745600,6.47,6.35,6.47,6.0701,ok,26000.0,ARBE,,6.296699999999999,163714.19999999995,138194.0,1.1846693778311643,,0.0
1652832000,6.21,6.15,6.45,6.113,ok,7658.0,ARBE,,6.237666666666667,47768.05133333334,145852.0,0.3275104306648749,-0.0639269406392694,0.0
1652918400,6.1,6.1,6.39,6.04,ok,12163.0,ARBE,,6.176666666666667,75126.79666666666,158015.0,0.4754409180563026,0.013289036544850585,0.0
1653004800,6.31,6.18,6.31,6.1045,ok,9838.0,ARBE,,6.198166666666666,60977.56366666666,167853.0,0.3632795581054057,-0.015923566878981,0.0
1653264000,6.18,6.24,6.39,6.01,ok,14267.0,ARBE,,6.213333333333334,88645.62666666668,182120.0,0.4867429533640823,0.004830917874396157,0.0
1653350400,6.15,6.2001,6.23,6.09,ok,10699.0,ARBE,,6.173366666666666,66048.84996666666,192819.0,0.34254326579158,-0.017416798732171057,0.0
1653436800,6.1179,6.23,6.23,6.11,ok,6860.0,ARBE,,6.19,42463.4,199679.0,0.21265831659814,-0.018897637795275424,0.0
1653523200,6.2,6.26,6.36,6.2,ok,11563.0,ARBE,,6.273333333333333,72538.55333333333,211242.0,0.3433907714059388,0.01788617886178856,0.0
1653609600,6.35,6.64,6.74,6.35,ok,8318.0,ARBE,51.852047835749794,6.576666666666667,54704.71333333334,219560.0,0.2491561000789458,0.08852459016393444,0.0
1653955200,6.75,6.93,6.93,6.75,ok,2660.0,ARBE,58.25763831544177,6.87,18274.2,222220.0,0.0822347223472234,0.12135922330097082,0.0
1654041600,7.01,6.79,7.05,6.7866,ok,7503.0,ARBE,71.7538704938411,6.875533333333333,51587.1266,229723.0,0.2245623059075495,0.08814102564102555,0.0
1654128000,6.57,6.62,6.76,6.1,ok,32385.0,ARBE,60.12025241100131,6.493333333333333,210286.6,262108.0,0.8022898957681567,0.06772471411751435,0.0
1654214400,6.425,6.17,6.67,6.0,ok,13070.0,ARBE,49.02903194484901,6.28,82079.6,275178.0,0.2982782053797905,-0.009630818619582704,0.0
1654473600,6.22,6.22,6.33,6.0,ok,18183.0,ARBE,47.760971240919496,6.183333333333334,112431.55,293361.0,0.3832532272524296,-0.006389776357827448,0.0
1654560000,6.37,6.31,6.39,6.2,ok,8554.0,ARBE,49.02903194484901,6.3,53890.2,301915.0,0.1784946094099332,-0.049698795180722954,0.0
1654646400,6.355,6.345,6.48,6.345,ok,1575.0,ARBE,55.14566181127294,6.39,10064.25,303490.0,0.0331617186727734,-0.08441558441558439,0.0
1654732800,6.18,6.17,6.3,6.1,ok,4452.0,ARBE,51.7328448361224,6.19,27557.88,307942.0,0.0894904884686077,-0.09131075110456555,0.0
1654819200,6.23,6.48,6.49,6.23,ok,7276.0,ARBE,56.66725931193885,6.400000000000001,46566.40000000001,315218.0,0.1477276043880743,-0.02114803625377637,0.0
1655078400,6.49,6.2,6.49,6.04,ok,19426.0,ARBE,49.19021783140336,6.243333333333333,121282.99333333332,334644.0,0.3624239291107365,0.004862236628849326,0.0
1655164800,6.29,6.19,6.461,5.95,ok,66021.0,ARBE,49.79302430427477,6.200333333333334,409352.20700000005,400665.0,1.0216819712228422,-0.004823151125401881,0.0
1655251200,6.24,6.0,6.3987,6.0,ok,9143.0,ARBE,45.576923076923066,6.132899999999999,56073.1047,409808.0,0.1368277454320071,-0.04912836767036444,0.0
1655337600,5.92,5.2,5.97,5.2,ok,66709.0,ARBE,34.272997032640944,5.456666666666667,364008.7766666667,476517.0,0.7638946284532696,-0.18045705279747826,0.0
1655424000,5.59,5.6,5.6,5.27,ok,12268.0,ARBE,34.66076696165192,5.489999999999999,67351.31999999999,488785.0,0.137793344722117,-0.09238249594813619,0.0
1655769600,5.26,5.51,5.65,5.26,ok,14644.0,ARBE,27.742946708463947,5.473333333333334,80151.49333333333,503429.0,0.1592111168274639,-0.14969135802469147,0.0
1655856000,5.5556,5.7,5.75,5.52,ok,8922.0,ARBE,33.17901234567903,5.656666666666666,50468.78,512351.0,0.098504306617924,-0.08064516129032262,0.0
1655942400,5.83,5.69,5.83,5.55,ok,8898.0,ARBE,34.90259740259741,5.69,50629.62,521249.0,0.0971313518107468,-0.08077544426494343,0.0
1656028800,5.57,5.6,5.8,5.44,ok,7615.0,ARBE,39.52205882352941,5.613333333333333,42745.53333333333,528864.0,0.0808251900929791,-0.06666666666666676,0.0
1656288000,5.75,5.65,5.8,5.6,ok,11759.0,ARBE,39.52205882352943,5.683333333333333,66830.31666666667,540623.0,0.123617228025198,0.08653846153846168,0.0
1656374400,5.71,5.63,5.8,5.5,ok,11608.0,ARBE,37.16981132075473,5.6433333333333335,65507.81333333334,552231.0,0.1186239333419046,0.005357142857142838,0.0
1656460800,5.53,5.55,5.5899,5.5,ok,8602.0,ARBE,35.25046382189241,5.546633333333333,47712.13993333333,560833.0,0.0850737027481145,0.007259528130671544,0.0
1656547200,5.56,5.5,5.7629,5.35,ok,14815.0,ARBE,36.9649805447471,5.537633333333333,82040.03783333332,575648.0,0.1425177153978357,-0.03508771929824561,0.0
1656633600,5.33,5.44,5.44,5.3,ok,10122.0,ARBE,27.58620689655173,5.3933333333333335,54591.32,585770.0,0.0931958277139491,-0.04393673110720564,0.0
1656979200,5.7129,5.64,5.7129,5.3293,ok,2878.0,ARBE,37.49999999999999,5.560733333333334,16003.790533333336,588648.0,0.0271873692484019,0.0071428571428571175,0.0
1657065600,5.56,5.35,5.56,5.3,ok,7410.0,ARBE,33.33333333333333,5.403333333333333,40038.7,596058.0,0.067172489925477,-0.053097345132743445,0.0
1657152000,5.36,5.3,5.562,5.3,ok,5130.0,ARBE,35.294117647058826,5.387333333333333,27637.02,601188.0,0.0459706780574462,-0.05861456483126115,0.0
1657238400,5.35,5.61,5.7,5.35,ok,9597.0,ARBE,60.84656084656085,5.553333333333334,53295.34,610785.0,0.0872571199358203,0.010810810810810922,0.0
1657497600,5.64,5.81,5.83,5.36,ok,9552.0,ARBE,56.21301775147928,5.666666666666667,54128.0,620337.0,0.0872557980581522,0.056363636363636394,0.0
1657584000,5.73,5.53,5.9499,5.5,ok,3555.0,ARBE,50.53191489361704,5.659966666666667,20121.1815,623892.0,0.0322510650881883,0.016544117647058876,0.0
1657670400,5.5,5.42,5.5,5.36,ok,4167.0,ARBE,42.22222222222221,5.426666666666667,22612.92,628059.0,0.0360044518110559,-0.03900709219858156,0.0
1657756800,5.3824,5.45,5.45,5.28,ok,2784.0,ARBE,43.406593406593394,5.3933333333333335,15015.04,630843.0,0.0238015480872419,0.01869158878504673,0.0
1657843200,5.4,5.43,5.45,5.4,ok,5427.0,ARBE,45.14285714285714,5.426666666666667,29450.52,636270.0,0.0462861992550332,0.024528301886792336,0.0
1658102400,5.84,5.43,5.84,5.4,ok,7737.0,ARBE,43.529411764705856,5.556666666666668,42991.93000000001,644007.0,0.0667569296607024,-0.03208556149732633,0.0
1658188800,5.4934,5.33,5.56,5.28,ok,11608.0,ARBE,41.57303370786517,5.390000000000001,62567.12000000001,655615.0,0.0954327158469528,-0.08261617900172114,0.0
1658275200,5.75,5.12,5.84,5.11,ok,103683.0,ARBE,38.7434554973822,5.3566666666666665,555395.27,759298.0,0.7314588870245938,-0.07414104882459316,0.0
1658361600,5.26,5.03,5.65,5.03,ok,208631.0,ARBE,37.94871794871794,5.236666666666667,1092531.0033333334,967929.0,1.1287305198349604,-0.07195571955719549,0.0
1658448000,5.03,4.93,5.2099,4.85,ok,93761.0,ARBE,37.18592964824119,4.996633333333333,468489.3379666666,1061690.0,0.4412675432251096,-0.09541284403669736,0.0
1658707200,5.0,4.91,5.01,4.8308,ok,20198.0,ARBE,29.83425414364642,4.916933333333334,99312.21946666668,1081888.0,0.0917952870044465,-0.09576427255985265,0.0
1658793600,5.0,4.95,5.03,4.9184,ok,6434.0,ARBE,37.1794871794872,4.966133333333333,31952.10186666666,1088322.0,0.0293590517022229,-0.0883977900552485,0.0
1658880000,4.9515,5.41,5.46,4.95,ok,30017.0,ARBE,52.79187817258884,5.273333333333333,158289.64666666667,1118339.0,0.1415399504682092,0.015009380863039379,0.0
1658966400,5.198,5.26,5.44,5.186,ok,8404.0,ARBE,40.33149171270716,5.295333333333334,44501.98133333334,1126743.0,0.0394961240791674,0.02734375,0.0
1659052800,5.2773,5.36,5.55,5.03,ok,19453.0,ARBE,36.84210526315792,5.3133333333333335,103360.27333333332,1146196.0,0.0901767876814552,0.0656063618290259,0.0
