t,o,c,h,l,s,v,Ticker,RSI
1652140800,1.0,0.902,1.0,0.9,ok,41809.0,EFOI,
1652227200,0.9,0.852,0.9398,0.852,ok,45331.0,EFOI,
1652313600,0.8,0.8,0.85,0.7577,ok,98330.0,EFOI,
1652400000,0.77,0.8578,0.95,0.77,ok,141141.0,EFOI,
1652659200,0.98,0.8872,0.98,0.8706,ok,53097.0,EFOI,
1652745600,0.89,0.9108,0.99,0.8885,ok,148586.0,EFOI,
1652832000,0.8999,0.84,0.947,0.84,ok,25821.0,EFOI,
1652918400,0.9055,0.8508,0.9055,0.8401,ok,15691.0,EFOI,
1653004800,0.916,0.8623,0.916,0.8508,ok,17870.0,EFOI,
1653264000,0.86,0.9001,0.94,0.83,ok,33323.0,EFOI,
1653350400,0.98,0.8999,0.98,0.83,ok,14645.0,EFOI,
1653436800,0.87,0.8725,0.8994,0.834,ok,7580.0,EFOI,
1653523200,0.8501,0.8503,0.899,0.8501,ok,18491.0,EFOI,
1653609600,0.8778,0.8762,0.88,0.85,ok,39254.0,EFOI,46.9241773962804
1653955200,0.88,0.8878,0.9101,0.86,ok,67073.0,EFOI,48.35266821345708
1654041600,0.8878,1.22,1.63,0.86,ok,22967424.0,EFOI,75.79921480650589
1654128000,1.09,1.11,1.23,1.01,ok,2300486.0,EFOI,70.09854771784232
1654214400,1.35,1.65,1.83,1.29,ok,102636009.0,EFOI,81.60204244455082
1654473600,1.46,1.56,1.63,1.35,ok,7803249.0,EFOI,75.60121765601218
1654560000,1.5,2.28,2.49,1.44,ok,23045192.0,EFOI,84.05292479108635
1654646400,2.98,2.7,3.12,2.3101,ok,46515038.0,EFOI,89.41345990845907
1654732800,2.46,2.29,2.56,2.21,ok,5500071.0,EFOI,76.08380455270407
1654819200,2.39,2.52,2.729,2.22,ok,4574327.0,EFOI,77.83898162764922
1655078400,2.45,2.45,2.54,2.3062,ok,4839452.0,EFOI,75.75012460541619
1655164800,2.51,2.04,2.6,1.96,ok,2327342.0,EFOI,66.67154095867575
1655251200,1.98,1.97,2.15,1.88,ok,1664428.0,EFOI,65.8511222161241
1655337600,1.97,1.84,2.04,1.81,ok,874793.0,EFOI,63.86250945457602
1655424000,1.84,1.88,2.0499,1.84,ok,489132.0,EFOI,64.00468776159386
1655769600,1.91,1.66,1.91,1.655,ok,485316.0,EFOI,60.1814250303254
1655856000,1.78,1.67,1.78,1.6101,ok,197003.0,EFOI,56.48414985590777
1655942400,1.64,1.54,1.64,1.5,ok,256794.0,EFOI,56.16045845272206
1656028800,1.51,1.65,1.6588,1.47,ok,424284.0,EFOI,50.0
1656288000,1.6,1.65,1.77,1.59,ok,327133.0,EFOI,51.515151515151516
1656374400,1.61,1.57,1.67,1.57,ok,138990.0,EFOI,34.763948497854074
1656460800,1.56,1.41,1.67,1.38,ok,386938.0,EFOI,18.840579710144922
1656547200,1.4,1.3,1.4,1.275,ok,143662.0,EFOI,22.033898305084747
1656633600,1.26,1.2,1.4,1.16,ok,304813.0,EFOI,9.75609756097559
1656979200,1.2,1.08,1.2,1.05,ok,370601.0,EFOI,9.467455621301767
1657065600,1.15,1.02,1.15,1.0,ok,189566.0,EFOI,11.940298507462671
1657152000,1.02,1.02,1.07,0.99,ok,444085.0,EFOI,12.598425196850386
1657238400,1.11,1.0,1.12,0.99,ok,325705.0,EFOI,13.793103448275843
1657497600,1.0,0.9699,1.03,0.94,ok,422275.0,EFOI,10.43387531518998
1657584000,0.9408,0.902,0.97,0.9,ok,203235.0,EFOI,12.024048096192374
1657670400,0.9292,0.9375,0.983,0.87,ok,321801.0,EFOI,14.215925744992674
1657756800,0.9633,0.8584,0.9633,0.8333,ok,288576.0,EFOI,14.959901295496593
1657843200,0.85,0.8786,0.9157,0.85,ok,172318.0,EFOI,6.309469868599919
1658102400,0.91,0.899,0.966,0.88,ok,500244.0,EFOI,8.425597874224962
1658188800,0.9078,0.91,0.96,0.9,ok,392073.0,EFOI,10.441141213138337
1658275200,0.93,0.9149,0.9498,0.89,ok,226635.0,EFOI,13.547342070387288
1658361600,0.93,0.8635,0.93,0.861,ok,358302.0,EFOI,14.826752618855764
1658448000,0.86,0.872,0.94,0.8355,ok,538894.0,EFOI,18.998109640831757
1658707200,0.8647,0.8041,0.88,0.79,ok,519364.0,EFOI,21.07360033550009
1658793600,0.78,0.8147,0.8343,0.78,ok,401317.0,EFOI,25.988304093567237
1658880000,0.805,0.718,0.828,0.6618,ok,1572808.0,EFOI,21.194200686760766
1658966400,0.71,0.749,0.7717,0.68,ok,252908.0,EFOI,26.55082212257099
1659052800,0.7368,0.7374,0.7509,0.72,ok,138778.0,EFOI,27.50145151925682
1659312000,0.7483,0.7418,0.7611,0.7234,ok,110773.0,EFOI,32.32568402471314
1659398400,0.74,0.7295,0.7505,0.71,ok,242204.0,EFOI,25.81395348837208
