t,o,c,h,l,s,v,Ticker,RSI
1652140800,5.31,5.299,5.34,5.2504,ok,9235.0,KTCC,
1652227200,5.33,5.08,5.33,5.08,ok,7654.0,KTCC,
1652313600,5.13,5.05,5.13,5.01,ok,24538.0,KTCC,
1652400000,5.105,5.0001,5.105,5.0,ok,10632.0,KTCC,
1652659200,5.01,5.06,5.09,5.01,ok,6623.0,KTCC,
1652745600,5.04,5.04,5.155,5.02,ok,4257.0,KTCC,
1652832000,5.08,5.1,5.15,5.06,ok,2331.0,KTCC,
1652918400,5.27,5.16,5.27,5.11,ok,5284.0,KTCC,
1653004800,5.06,5.03,5.19,5.03,ok,3153.0,KTCC,
1653264000,5.04,5.12,5.13,5.0,ok,18578.0,KTCC,
1653350400,5.007,5.11,5.11,4.98,ok,10957.0,KTCC,
1653436800,5.1477,5.13,5.23,4.9701,ok,3597.0,KTCC,
1653523200,5.2465,5.08,5.26,5.08,ok,3991.0,KTCC,
1653609600,5.01,5.19,5.19,4.97,ok,24181.0,KTCC,44.00308098591549
1653955200,5.06,5.03,5.1435,5.03,ok,3898.0,KTCC,37.415793413173645
1654041600,5.16,5.04,5.16,5.03,ok,3849.0,KTCC,47.673877645964176
1654128000,5.03,4.98,5.07,4.98,ok,4749.0,KTCC,46.06653180490001
1654214400,4.9843,5.03,5.07,4.98,ok,26847.0,KTCC,51.6799640409035
1654473600,5.08,5.0,5.08,5.0,ok,12466.0,KTCC,46.51162790697676
1654560000,4.98,5.03,5.11,4.98,ok,5762.0,KTCC,49.425287356321846
1654646400,5.05,5.0,5.05,4.98,ok,11227.0,KTCC,44.04761904761907
1654732800,5.06,4.96,5.06,4.94,ok,18504.0,KTCC,37.804878048780466
1654819200,5.0439,4.955,5.0439,4.955,ok,2214.0,KTCC,44.60431654676257
1655078400,5.08,5.03,5.08,4.97,ok,18616.0,KTCC,43.38235294117648
1655164800,4.99,4.94,5.01,4.9001,ok,8948.0,KTCC,38.81578947368421
1655251200,4.93,4.86,5.0153,4.81,ok,37664.0,KTCC,33.536585365853696
1655337600,4.984,4.74,5.01,4.74,ok,10664.0,KTCC,30.898876404494402
1655424000,4.82,4.69,4.9731,4.57,ok,20909.0,KTCC,19.87951807228916
1655769600,4.73,4.6,4.73,4.59,ok,8090.0,KTCC,21.710526315789465
1655856000,4.65,4.43,4.71,4.4,ok,32889.0,KTCC,16.84782608695653
1655942400,4.35,4.36,4.5,4.34,ok,9148.0,KTCC,16.666666666666686
1656028800,4.4252,4.475,4.475,4.3958,ok,5704.0,KTCC,22.110552763819072
1656288000,4.41,4.56,4.72,4.37,ok,3500.0,KTCC,29.047619047619023
1656374400,4.5251,4.55,4.5807,4.51,ok,3256.0,KTCC,26.69902912621356
1656460800,4.5399,4.47,4.54,4.3936,ok,8189.0,KTCC,25.462962962962933
1656547200,4.44,4.41,4.44,4.3536,ok,7647.0,KTCC,24.999999999999986
1656633600,4.36,4.27,4.54,4.27,ok,3302.0,KTCC,22.267206477732756
1656979200,4.26,4.27,4.4043,4.26,ok,4886.0,KTCC,17.241379310344783
1657065600,4.26,4.25,4.29,4.25,ok,6950.0,KTCC,18.348623853210952
1657152000,4.25,4.27,4.36,4.24,ok,12979.0,KTCC,21.359223300970797
1657238400,4.3699,4.365,4.3699,4.26,ok,5238.0,KTCC,31.343283582089526
1657497600,4.32,4.33,4.389,4.32,ok,6731.0,KTCC,31.8181818181818
1657584000,4.3847,4.33,4.3847,4.33,ok,3407.0,KTCC,35.0
1657670400,4.36,4.39,4.3948,4.33,ok,5788.0,KTCC,47.46835443037974
1657756800,4.4217,4.38,4.4217,4.3501,ok,1767.0,KTCC,51.369863013698605
1657843200,4.33,4.39,4.44,4.33,ok,5177.0,KTCC,43.199999999999996
1658102400,4.38,4.47,4.563,4.38,ok,7245.0,KTCC,42.74193548387096
1658188800,4.5,4.46,4.6484,4.46,ok,4130.0,KTCC,42.74193548387096
1658275200,4.5289,4.49,4.6,4.47,ok,10454.0,KTCC,51.75438596491232
1658361600,4.72,4.69,4.72,4.6855,ok,2818.0,KTCC,69.71830985915494
1658448000,4.7,4.62,4.73,4.61,ok,3740.0,KTCC,77.34375000000006
1658707200,4.61,4.55,4.67,4.48,ok,5295.0,KTCC,69.71830985915494
1658793600,4.48,4.5,4.6299,4.4701,ok,4844.0,KTCC,66.89189189189189
1658880000,4.71,4.92,5.15,4.71,ok,12239.0,KTCC,78.50877192982456
1658966400,4.95,4.98,4.98,4.9039,ok,2066.0,KTCC,77.82805429864253
1659052800,4.7486,5.1,5.1077,4.7486,ok,4146.0,KTCC,82.35294117647058
1659312000,5.0,5.03,5.03,4.9735,ok,5092.0,KTCC,77.7777777777778
1659398400,4.94,5.14,5.49,4.94,ok,4889.0,KTCC,78.62595419847331
1659484800,5.04,5.0,5.5,4.94,ok,18321.0,KTCC,71.5277777777778
1659571200,5.19,5.07,5.22,4.91,ok,9254.0,KTCC,72.6666666666667
1659657600,5.19,5.06,5.23,4.91,ok,12017.0,KTCC,70.62937062937063
1659916800,4.97,4.88,5.41,4.85,ok,20893.0,KTCC,63.125
1660003200,5.0,5.0,5.13,4.89,ok,10797.0,KTCC,65.0887573964497
1660089600,4.96,5.05,5.05,4.92,ok,9095.0,KTCC,61.68831168831168
1660176000,5.0,5.09,5.25,4.92,ok,6505.0,KTCC,65.56291390728478
1660262400,5.03,5.03,5.41,5.02,ok,4306.0,KTCC,66.00000000000003
1660521600,5.38,5.21,5.38,5.02,ok,27200.0,KTCC,71.7791411042945
1660608000,5.4,5.23,5.4896,5.2101,ok,15937.0,KTCC,62.6016260162602
1660694400,5.32,5.3121,5.46,5.09,ok,19074.0,KTCC,63.26172030987941
1660780800,5.13,5.39,5.39,5.08,ok,14951.0,KTCC,61.98347107438018
1660867200,5.1401,5.24,5.24,5.0,ok,4766.0,KTCC,58.139534883720934
1661126400,5.24,5.1801,5.2427,5.1652,ok,3682.0,KTCC,51.61706589241071
1661212800,5.12,5.1,5.14,4.97,ok,12947.0,KTCC,54.237288135593204
1661299200,5.05,5.0,5.1,4.92,ok,9758.0,KTCC,47.10743801652891
1661385600,5.04,5.07,5.07,5.04,ok,1072.0,KTCC,50.39370078740159
1661472000,4.96,4.95,5.08,4.94,ok,4814.0,KTCC,52.89256198347109
1661731200,4.88,4.97,4.97,4.87,ok,6383.0,KTCC,48.64864864864864
1661817600,4.98,4.76,4.98,4.67,ok,10879.0,KTCC,38.58267716535432
1661904000,4.7981,4.76,4.84,4.75,ok,5185.0,KTCC,36.585365853658516
1661990400,4.66,4.51,4.69,4.47,ok,13402.0,KTCC,31.69014084507039
1662076800,4.75,4.6,4.83,4.55,ok,8497.0,KTCC,27.067669172932312
1662422400,4.61,4.61,4.61,4.61,ok,1420.0,KTCC,26.515151515151487
1662508800,4.66,4.7,4.7561,4.64,ok,3322.0,KTCC,26.952330747797262
1662595200,4.6405,4.48,4.684,4.48,ok,7103.0,KTCC,19.047619047619065
1662681600,4.6578,4.5,4.6578,4.4,ok,4099.0,KTCC,22.388059701492523
1662940800,4.56,4.42,4.62,4.41,ok,5175.0,KTCC,22.057201676347304
1663027200,4.4,4.41,4.5299,4.4,ok,3394.0,KTCC,23.255813953488385
1663113600,4.5,4.34,4.5125,4.34,ok,11974.0,KTCC,23.809523809523796
1663200000,4.38,4.4,4.45,4.31,ok,5792.0,KTCC,23.200000000000003
1663286400,4.3,4.28,4.3514,4.28,ok,18483.0,KTCC,23.200000000000003
1663545600,4.25,4.5,4.5,4.25,ok,18421.0,KTCC,33.79310344827587
1663632000,4.385,4.49,4.49,4.365,ok,6129.0,KTCC,39.200000000000024
1663718400,4.3,4.41,4.41,4.3,ok,1057.0,KTCC,36.84210526315791
1663804800,4.44,4.51,4.51,4.44,ok,2767.0,KTCC,50.0
1663891200,4.3613,4.35,4.44,4.274,ok,9646.0,KTCC,39.99999999999999
1664150400,4.31,4.2717,4.45,4.2717,ok,9937.0,KTCC,37.1690813927027
1664236800,4.2714,4.1712,4.28,4.1,ok,15553.0,KTCC,30.10234798314265
1664323200,4.07,4.1,4.2499,4.04,ok,5327.0,KTCC,33.898305084745715
1664409600,4.17,4.13,4.25,4.0,ok,12238.0,KTCC,34.45378151260503
1664496000,4.06,4.04,4.11,4.02,ok,16683.0,KTCC,34.16666666666667
1664755200,4.05,4.075,4.15,4.05,ok,16694.0,KTCC,36.32653061224491
1664841600,4.2399,4.09,4.25,4.09,ok,3359.0,KTCC,39.31623931623932
1664928000,4.19,4.15,4.4499,4.15,ok,20459.0,KTCC,39.31623931623932
1665014400,4.1,4.2,4.215,4.1,ok,2431.0,KTCC,46.36363636363636
1665100800,4.16,4.19,4.21,4.15,ok,12299.0,KTCC,32.58426966292136
1665360000,4.19,4.16,4.2,4.145,ok,6864.0,KTCC,31.86813186813187
1665446400,4.18,4.05,4.19,4.045,ok,17674.0,KTCC,30.851063829787222
1665532800,4.2,4.09,4.2,4.045,ok,3915.0,KTCC,26.13636363636367
1665619200,4.1039,4.18,4.18,4.1039,ok,2542.0,KTCC,39.506172839506185
1665705600,4.2,4.14,4.2,4.106,ok,1225.0,KTCC,41.46689127899441
1665964800,4.2,4.12,4.2,4.12,ok,2318.0,KTCC,46.29629629629632
1666051200,4.16,4.12,4.21,4.12,ok,8150.0,KTCC,51.61290322580649
1666137600,4.12,4.09,4.21,4.08,ok,4542.0,KTCC,46.774193548387096
1666224000,4.135,4.055,4.14,4.03,ok,13230.0,KTCC,51.32743362831856
1666310400,4.169,4.15,4.2,4.09,ok,6903.0,KTCC,56.000000000000014
1666569600,4.18,4.25,4.2862,4.18,ok,3890.0,KTCC,61.26760563380282
1666656000,4.28,4.35,4.35,4.27,ok,8905.0,KTCC,63.333333333333286
1666742400,4.24,4.16,4.37,4.16,ok,10823.0,KTCC,47.75280898876404
1666828800,4.31,4.37,4.37,4.31,ok,2255.0,KTCC,58.25688073394494
