t,o,c,h,l,s,v,Ticker
1652140800,1.82,1.7,1.92,1.68,ok,241970.0,BCEL
1652227200,1.76,1.61,1.83,1.61,ok,457380.0,BCEL
1652313600,1.6,1.63,1.8,1.57,ok,230277.0,BCEL
1652400000,1.72,1.65,1.7599,1.61,ok,378420.0,BCEL
1652659200,1.68,1.68,1.77,1.635,ok,178767.0,BCEL
1652745600,1.72,1.9,1.98,1.65,ok,386921.0,BCEL
1652832000,1.88,1.75,1.88,1.75,ok,161409.0,BCEL
1652918400,1.7,1.69,1.78,1.66,ok,362715.0,BCEL
1653004800,1.73,1.84,1.86,1.66,ok,229328.0,BCEL
1653264000,1.87,1.74,1.87,1.71,ok,204572.0,BCEL
1653350400,1.7,1.67,1.7001,1.57,ok,278327.0,BCEL
1653436800,1.64,1.67,1.69,1.54,ok,206729.0,BCEL
1653523200,1.65,1.7,1.79,1.61,ok,231853.0,BCEL
1653609600,1.71,1.68,1.74,1.625,ok,298125.0,BCEL
1653955200,1.7,1.68,1.715,1.61,ok,344642.0,BCEL
1654041600,1.69,1.59,1.7199,1.52,ok,416279.0,BCEL
1654128000,1.58,1.56,1.62,1.51,ok,264404.0,BCEL
1654214400,1.51,1.78,1.79,1.51,ok,310764.0,BCEL
1654473600,1.76,1.74,1.88,1.69,ok,247112.0,BCEL
1654560000,1.74,2.11,2.18,1.74,ok,879198.0,BCEL
1654646400,2.06,2.09,2.23,2.03,ok,292772.0,BCEL
1654732800,2.06,2.15,2.18,1.98,ok,207427.0,BCEL
1654819200,2.14,1.96,2.2,1.87,ok,215925.0,BCEL
1655078400,1.84,1.845,1.86,1.71,ok,229450.0,BCEL
1655164800,1.87,1.67,1.87,1.66,ok,152474.0,BCEL
1655251200,1.83,1.75,1.9,1.685,ok,152006.0,BCEL
1655337600,1.69,1.68,1.71,1.56,ok,249855.0,BCEL
1655424000,1.66,1.75,1.83,1.6301,ok,222731.0,BCEL
1655769600,1.8,1.69,1.83,1.62,ok,509944.0,BCEL
1655856000,1.74,1.7,1.9,1.64,ok,433252.0,BCEL
1655942400,1.73,1.93,1.93,1.71,ok,240908.0,BCEL
1656028800,1.91,1.96,2.1799,1.9,ok,3346490.0,BCEL
1656288000,1.96,2.02,2.05,1.83,ok,154707.0,BCEL
1656374400,1.99,2.03,2.1,1.9717,ok,124828.0,BCEL
1656460800,2.01,1.83,2.02,1.83,ok,175953.0,BCEL
1656547200,1.83,1.79,1.86,1.76,ok,111984.0,BCEL
1656633600,1.76,1.79,1.86,1.76,ok,95772.0,BCEL
1656979200,1.82,2.23,2.27,1.72,ok,610472.0,BCEL
