t,o,c,h,l,s,v,Ticker
1652140800,1.14,1.12,1.155,1.05,ok,1593168.0,WWR
1652227200,1.1,1.06,1.2,1.05,ok,1489406.0,WWR
1652313600,1.05,1.07,1.11,1.0,ok,1214710.0,WWR
1652400000,1.1,1.17,1.17,1.1,ok,1119287.0,WWR
1652659200,1.17,1.14,1.19,1.12,ok,489344.0,WWR
1652745600,1.15,1.17,1.2,1.129,ok,622985.0,WWR
1652832000,1.13,1.15,1.22,1.12,ok,731378.0,WWR
1652918400,1.13,1.19,1.2299,1.13,ok,571060.0,WWR
1653004800,1.26,1.16,1.26,1.12,ok,730752.0,WWR
1653264000,1.2,1.18,1.2,1.15,ok,817581.0,WWR
1653350400,1.18,1.13,1.18,1.1,ok,644801.0,WWR
1653436800,1.11,1.13,1.15,1.1,ok,418861.0,WWR
1653523200,1.13,1.18,1.21,1.13,ok,586071.0,WWR
1653609600,1.19,1.25,1.25,1.18,ok,681374.0,WWR
1653955200,1.26,1.23,1.28,1.21,ok,575349.0,WWR
1654041600,1.27,1.22,1.27,1.2,ok,362645.0,WWR
1654128000,1.22,1.28,1.31,1.21,ok,550425.0,WWR
1654214400,1.25,1.25,1.26,1.21,ok,376128.0,WWR
1654473600,1.27,1.25,1.295,1.22,ok,491837.0,WWR
1654560000,1.25,1.24,1.265,1.21,ok,612027.0,WWR
1654646400,1.28,1.24,1.295,1.22,ok,775063.0,WWR
1654732800,1.25,1.15,1.25,1.15,ok,500172.0,WWR
1654819200,1.12,1.1,1.14,1.1,ok,581601.0,WWR
1655078400,1.07,1.05,1.08,1.0,ok,850663.0,WWR
1655164800,1.07,1.04,1.08,1.04,ok,381876.0,WWR
1655251200,1.08,1.14,1.14,1.06,ok,672611.0,WWR
1655337600,1.1,1.09,1.1,1.0403,ok,790167.0,WWR
1655424000,1.09,1.14,1.14,1.08,ok,935701.0,WWR
1655769600,1.16,1.16,1.2,1.1385,ok,603860.0,WWR
1655856000,1.16,1.16,1.17,1.13,ok,487147.0,WWR
1655942400,1.15,1.17,1.2,1.125,ok,398904.0,WWR
1656028800,1.15,1.22,1.22,1.15,ok,445128.0,WWR
1656288000,1.24,1.18,1.24,1.1701,ok,278243.0,WWR
1656374400,1.17,1.13,1.2,1.13,ok,210200.0,WWR
1656460800,1.13,1.09,1.13,1.07,ok,387624.0,WWR
1656547200,1.11,1.08,1.11,1.05,ok,349185.0,WWR
1656633600,1.08,1.08,1.13,1.0601,ok,360042.0,WWR
1656979200,1.08,1.07,1.08,1.04,ok,369516.0,WWR
1657065600,1.07,1.09,1.1,1.05,ok,295348.0,WWR
1657152000,1.09,1.15,1.15,1.09,ok,289545.0,WWR
1657238400,1.12,1.13,1.17,1.1,ok,271871.0,WWR
1657497600,1.12,1.06,1.14,1.06,ok,296034.0,WWR
1657584000,1.08,1.11,1.14,1.05,ok,496558.0,WWR
1657670400,1.1,1.09,1.16,1.06,ok,1264833.0,WWR
1657756800,1.09,1.085,1.1,1.07,ok,212634.0,WWR
1657843200,1.11,1.085,1.11,1.07,ok,317490.0,WWR
1658102400,1.11,1.11,1.1399,1.08,ok,458197.0,WWR
1658188800,1.12,1.14,1.15,1.1101,ok,256292.0,WWR
1658275200,1.15,1.19,1.2,1.145,ok,523215.0,WWR
1658361600,1.2,1.17,1.2099,1.1487,ok,327302.0,WWR
1658448000,1.18,1.15,1.2,1.15,ok,289555.0,WWR
1658707200,1.15,1.11,1.15,1.1,ok,249924.0,WWR
1658793600,1.11,1.08,1.12,1.08,ok,198918.0,WWR
1658880000,1.13,1.09,1.13,1.08,ok,215089.0,WWR
1658966400,1.12,1.16,1.1722,1.11,ok,415183.0,WWR
1659052800,1.19,1.23,1.2399,1.18,ok,548460.0,WWR
1659312000,1.24,1.18,1.24,1.15,ok,295626.0,WWR
1659398400,1.17,1.18,1.2189,1.1642,ok,342079.0,WWR
1659484800,1.19,1.23,1.25,1.19,ok,366107.0,WWR
1659571200,1.26,1.35,1.3699,1.25,ok,951540.0,WWR
1659657600,1.4,1.33,1.4,1.27,ok,675049.0,WWR
1659916800,1.36,1.43,1.43,1.35,ok,928837.0,WWR
1660003200,1.41,1.36,1.42,1.34,ok,549467.0,WWR
1660089600,1.4,1.49,1.525,1.37,ok,875724.0,WWR
1660176000,1.5,1.37,1.5,1.35,ok,529564.0,WWR
1660262400,1.39,1.47,1.48,1.3801,ok,633666.0,WWR
1660521600,1.54,1.77,1.79,1.51,ok,2582624.0,WWR
1660608000,1.8,1.76,1.805,1.645,ok,1847540.0,WWR
1660694400,1.71,1.59,1.73,1.5542,ok,1005396.0,WWR
1660780800,1.59,1.6,1.6599,1.58,ok,655171.0,WWR
1660867200,1.53,1.5,1.55,1.48,ok,580493.0,WWR
1661126400,1.47,1.47,1.49,1.415,ok,519462.0,WWR
1661212800,1.47,1.49,1.54,1.46,ok,427848.0,WWR
1661299200,1.49,1.5,1.54,1.45,ok,859608.0,WWR
1661385600,1.5,1.44,1.5329,1.425,ok,725138.0,WWR
1661472000,1.46,1.39,1.46,1.35,ok,608119.0,WWR
1661731200,1.37,1.38,1.45,1.3634,ok,931331.0,WWR
1661817600,1.4,1.33,1.4,1.32,ok,469009.0,WWR
1661904000,1.35,1.4,1.45,1.33,ok,623700.0,WWR
1661990400,1.37,1.33,1.39,1.29,ok,605613.0,WWR
1662076800,1.35,1.33,1.3596,1.3007,ok,458737.0,WWR
1662422400,1.35,1.39,1.42,1.32,ok,583294.0,WWR
1662508800,1.43,1.48,1.49,1.4,ok,841870.0,WWR
1662595200,1.44,1.45,1.49,1.431,ok,543111.0,WWR
1662681600,1.45,1.45,1.48,1.44,ok,392285.0,WWR
1662940800,1.44,1.44,1.47,1.411,ok,327190.0,WWR
