t,o,c,h,l,s,v,Ticker,RSI
1652140800,1.63,1.41,1.63,1.41,ok,33299.0,MEDS,
1652227200,1.4138,1.29,1.4398,1.27,ok,30212.0,MEDS,
1652313600,1.2,1.255,1.29,1.16,ok,33458.0,MEDS,
1652400000,1.245,1.24,1.28,1.22,ok,10854.0,MEDS,
1652659200,1.26,1.27,1.2862,1.24,ok,20548.0,MEDS,
1652745600,1.28,1.35,1.42,1.28,ok,18096.0,MEDS,
1652832000,1.5,1.46,1.5,1.2798,ok,14038.0,MEDS,
1652918400,1.3001,1.38,1.4399,1.3001,ok,13795.0,MEDS,
1653004800,1.32,1.26,1.3283,1.26,ok,16269.0,MEDS,
1653264000,1.37,1.55,1.64,1.37,ok,232232.0,MEDS,
1653350400,1.49,1.42,1.5499,1.36,ok,26855.0,MEDS,
1653436800,1.45,1.63,1.9,1.45,ok,67758.0,MEDS,
1653523200,1.81,1.65,1.8599,1.65,ok,45265.0,MEDS,
1653609600,1.68,1.7,1.775,1.65,ok,17738.0,MEDS,61.24031007751938
1653955200,1.75,1.5484,1.75,1.5,ok,31260.0,MEDS,54.80022197558269
1654041600,1.51,1.53,1.5832,1.5,ok,10467.0,MEDS,58.95522388059702
1654128000,1.5,1.61,1.61,1.5,ok,43466.0,MEDS,62.81588447653431
1654214400,1.65,1.6582,1.6584,1.615,ok,14918.0,MEDS,64.74404174305457
1654473600,1.7,1.5701,1.7,1.5548,ok,13044.0,MEDS,60.16392332181806
1654560000,1.65,1.57,1.67,1.54,ok,12171.0,MEDS,57.87739902606703
1654646400,1.63,1.6399,1.65,1.55,ok,13173.0,MEDS,56.63201356632014
1654732800,1.62,1.56,1.62,1.56,ok,6683.0,MEDS,56.63618935260287
1654819200,1.56,1.5399,1.6392,1.5,ok,8891.0,MEDS,61.13985513014408
1655078400,1.45,1.41,1.5094,1.3,ok,21251.0,MEDS,43.61430395913154
1655164800,1.3738,1.42,1.48,1.3738,ok,10707.0,MEDS,50.0
1655251200,1.38,1.5,1.65,1.37,ok,23460.0,MEDS,42.31860080359254
1655337600,1.5,1.45,1.55,1.39,ok,6207.0,MEDS,38.58708057521113
1655424000,1.47,1.45,1.48,1.41,ok,12334.0,MEDS,34.870491406439115
1655769600,1.4601,1.47,1.4964,1.421,ok,3816.0,MEDS,44.35646415202994
