t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,29.95,29.27,30.135,29.005,ok,36796.0,MOFG,,29.47,1084378.12,36796.0,29.469999999999995,,0
1652227200,29.43,29.39,29.87,29.28,ok,27755.0,MOFG,,29.513333333333332,819142.5666666668,64551.0,12.689850918911665,,0
1652313600,29.19,29.35,29.42,28.98,ok,35422.0,MOFG,,29.25,1036093.5,99973.0,10.36373320796615,,0
1652400000,29.59,28.81,29.59,28.77,ok,31838.0,MOFG,,29.05666666666667,925106.1533333334,131811.0,7.0184290638363525,,0
1652659200,28.78,28.66,28.84,28.51,ok,21868.0,MOFG,,28.67,626955.56,153679.0,4.079643672850552,,0
1652745600,29.01,29.51,29.58,29.01,ok,20023.0,MOFG,,29.36666666666667,588008.7666666667,173702.0,3.385158297927869,,0
1652832000,29.19,28.71,29.21,28.55,ok,26083.0,MOFG,,28.82333333333333,751799.0033333333,199785.0,3.763040284973013,-0.019132217287324838,0
1652918400,28.86,28.21,28.87,28.19,ok,35262.0,MOFG,,28.423333333333336,1002263.58,235047.0,4.264098584538412,-0.04014971078598162,0
1653004800,28.47,28.66,28.67,27.98,ok,33818.0,MOFG,,28.436666666666667,961671.1933333334,268865.0,3.576780887558192,-0.023509369676320335,0
1653264000,28.93,29.54,29.61,28.85,ok,36956.0,MOFG,,29.33333333333333,1084042.6666666665,305821.0,3.544696625367998,0.02533842415827836,0
1653350400,29.48,30.03,30.12,29.17,ok,35083.0,MOFG,,29.773333333333337,1044537.8533333336,340904.0,3.064023459194769,0.04780181437543618,0
1653436800,30.325,30.13,30.67,29.82,ok,38578.0,MOFG,,30.206666666666667,1165312.7866666666,379482.0,3.070798579818454,0.02100982717722788,0
1653523200,30.43,30.21,30.7,30.01,ok,26711.0,MOFG,,30.30666666666667,809521.3733333334,406193.0,1.992947621779138,0.05224660397074188,0
1653609600,30.34,30.52,30.52,30.31,ok,14980.0,MOFG,61.77024482109228,30.45,456141.0,421173.0,1.083025265152325,0.08188585607940446,0
1653955200,30.27,30.43,30.52,29.915,ok,58681.0,MOFG,60.74074074074074,30.288333333333338,1777349.6883333337,479854.0,3.703938465310977,0.06175854849965101,0
1654041600,30.33,30.24,30.33,29.905,ok,14314.0,MOFG,57.76965265082264,30.15833333333333,431686.3833333333,494168.0,0.8735619937619055,0.023696682464454888,0
1654128000,29.795,30.71,30.75,29.795,ok,29667.0,MOFG,61.52542372881354,30.418333333333333,902420.695,523835.0,1.7227193581948512,0.022644022644022543,0
1654214400,30.29,30.3,30.61,30.12,ok,15517.0,MOFG,62.91161178509533,30.343333333333334,470837.50333333336,539352.0,0.8729688651072646,0.00564221705940926,0
1654473600,30.41,30.43,30.54,30.12,ok,16378.0,MOFG,65.39130434782606,30.363333333333333,497290.6733333333,555730.0,0.8948422315392967,0.007282356835484949,0
1654560000,30.46,30.61,30.81,30.46,ok,25989.0,MOFG,60.82677165354328,30.626666666666665,795956.44,581719.0,1.3682833808075718,0.002948885976408855,0
1654646400,30.34,30.02,30.34,29.82,ok,18936.0,MOFG,63.44969199178644,30.06,569216.16,600655.0,0.9476590721795374,-0.013473545842918155,0
1654732800,30.04,29.62,30.04,29.44,ok,34486.0,MOFG,64.77987421383648,29.700000000000003,1024234.2,635141.0,1.612609168672783,-0.020502645502645467,0
1654819200,29.34,29.23,29.34,28.91,ok,27254.0,MOFG,56.05095541401275,29.16,794726.64,662395.0,1.199777534552646,-0.048192771084337394,0
1655078400,28.77,28.82,29.45,28.65,ok,31685.0,MOFG,41.50943396226417,28.97333333333333,918020.0666666664,694080.0,1.3226430190564007,-0.048844884488448814,0
1655164800,28.75,29.2,29.26,28.75,ok,28083.0,MOFG,39.95157384987891,29.070000000000004,816372.81,722163.0,1.1304550496217614,-0.04042063752875458,0
1655251200,29.48,29.37,29.95,29.3249,ok,25115.0,MOFG,40.95238095238098,29.5483,742105.5545000001,747278.0,0.9930782847882584,-0.04050963737340729,0
1655337600,29.22,28.92,29.25,28.81,ok,32313.0,MOFG,35.88621444201314,28.993333333333336,936861.58,779591.0,1.2017347301341346,-0.03664223850766146,0
1655424000,29.43,29.3,29.5061,29.13,ok,44627.0,MOFG,36.853448275862085,29.31203333333333,1308108.1115666665,824218.0,1.5870899586840697,-0.01080351114112088,0
1655769600,29.4184,29.8,30.255,29.4184,ok,29226.0,MOFG,43.762376237623776,29.824466666666662,871649.8628,853444.0,1.0213322289453086,0.019500513171399225,0
1655856000,29.05,29.63,29.98,29.05,ok,17772.0,MOFG,43.93638170974155,29.55333333333333,525221.84,871216.0,0.6028606453508659,0.028105482303955487,0
1655942400,29.85,29.13,29.85,28.89,ok,33624.0,MOFG,34.3873517786561,29.290000000000003,984846.96,904840.0,1.0884211131249724,-0.002397260273972579,0
1656028800,28.85,29.99,30.29,28.85,ok,87229.0,MOFG,47.186932849364766,29.71,2591573.59,992069.0,2.6122916752766185,0.021109976166155953,0
1656288000,30.17,29.84,30.17,29.73,ok,13662.0,MOFG,44.66546112115732,29.913333333333338,408675.9600000001,1005731.0,0.4063471842868521,0.03181189488243419,0
1656374400,30.08,29.83,30.18,29.2,ok,18021.0,MOFG,42.72388059701491,29.736666666666665,535884.47,1023752.0,0.5234514511326962,0.018088737201365168,0
1656460800,29.75,29.6,29.75,29.39,ok,15510.0,MOFG,45.80000000000002,29.58,458785.8000000001,1039262.0,0.4414534544705762,-0.006711409395973145,0
1656547200,30.0686,29.72,30.0686,29.49,ok,18411.0,MOFG,51.05932203389828,29.759533333333334,547902.7682,1057673.0,0.5180266190022814,0.0030374620317246137,0
