t,o,c,h,l,s,v,Ticker
1683057600,2.23,2.23,2.23,2.23,ok,11891,HLLY
1683118800,2.23,2.235,2.26,2.23,ok,29470,HLLY
1683122400,2.21,2.2,2.25,2.2,ok,31987,HLLY
1683126000,2.2,2.175,2.21,2.17,ok,38470,HLLY
1683129600,2.175,2.165,2.18,2.15,ok,36221,HLLY
1683133200,2.165,2.15,2.175,2.15,ok,22136,HLLY
1683136800,2.15,2.175,2.19,2.13,ok,123322,HLLY
1683140400,2.17,2.145,2.205,2.14,ok,155307,HLLY
1683201600,2.16,2.16,2.16,2.16,ok,101,HLLY
1683205200,2.12,2.14,2.16,2.12,ok,19918,HLLY
1683208800,2.14,2.09,2.15,2.09,ok,53129,HLLY
1683212400,2.1,2.16,2.16,2.08,ok,59365,HLLY
1683216000,2.155,2.19,2.19,2.15,ok,85265,HLLY
1683219600,2.19,2.185,2.2,2.17,ok,77470,HLLY
1683223200,2.185,2.17,2.19,2.17,ok,30718,HLLY
1683226800,2.175,2.175,2.195,2.16,ok,91508,HLLY
1683288000,2.23,2.23,2.23,2.23,ok,112,HLLY
1683291600,2.24,2.24,2.28,2.235,ok,37787,HLLY
1683295200,2.25,2.28,2.31,2.25,ok,60180,HLLY
1683298800,2.29,2.32,2.34,2.29,ok,47780,HLLY
1683302400,2.325,2.305,2.325,2.3,ok,13659,HLLY
1683306000,2.305,2.305,2.305,2.29,ok,21376,HLLY
1683309600,2.305,2.34,2.35,2.3,ok,30569,HLLY
1683313200,2.345,2.31,2.355,2.305,ok,116938,HLLY
1683543600,2.35,2.38,2.38,2.35,ok,250,HLLY
1683550800,2.34,2.35,2.38,2.33,ok,27106,HLLY
1683554400,2.365,2.355,2.37,2.33,ok,22447,HLLY
1683558000,2.355,2.355,2.36,2.34,ok,26656,HLLY
1683561600,2.355,2.385,2.395,2.35,ok,31908,HLLY
1683565200,2.385,2.415,2.42,2.385,ok,26814,HLLY
1683568800,2.415,2.455,2.46,2.41,ok,28893,HLLY
1683572400,2.455,2.44,2.455,2.42,ok,67750,HLLY
1683579600,2.47,2.47,2.47,2.47,ok,221,HLLY
1683637200,2.4,2.36,2.4,2.33,ok,30218,HLLY
1683640800,2.36,2.355,2.37,2.335,ok,30703,HLLY
1683644400,2.36,2.325,2.37,2.32,ok,29266,HLLY
1683648000,2.325,2.325,2.35,2.315,ok,80233,HLLY
1683651600,2.325,2.32,2.345,2.31,ok,57217,HLLY
1683655200,2.315,2.36,2.365,2.31,ok,44068,HLLY
1683658800,2.355,2.37,2.39,2.35,ok,77140,HLLY
1683723600,2.41,2.46,2.46,2.39,ok,21174,HLLY
1683727200,2.46,2.47,2.48,2.44,ok,35994,HLLY
1683730800,2.48,2.475,2.49,2.46,ok,25252,HLLY
1683734400,2.47,2.445,2.5,2.44,ok,69088,HLLY
1683738000,2.445,2.405,2.45,2.4,ok,62938,HLLY
1683741600,2.405,2.455,2.46,2.405,ok,68665,HLLY
1683745200,2.46,2.62,2.62,2.455,ok,594826,HLLY
1683748800,2.62,2.62,2.62,2.62,ok,100,HLLY
1683802800,2.79,2.78,2.79,2.78,ok,1047,HLLY
