t,o,c,h,l,s,v,Ticker,RSI
1652140800,7.59,7.31,7.65,7.26,ok,470068.0,TCS,
1652227200,7.32,6.83,7.41,6.79,ok,377098.0,TCS,
1652313600,6.78,7.02,7.06,6.7,ok,439560.0,TCS,
1652400000,7.2,7.38,7.42,7.11,ok,541560.0,TCS,
1652659200,7.29,7.32,7.485,7.17,ok,724469.0,TCS,
1652745600,7.43,7.21,7.6,7.13,ok,1960410.0,TCS,
1652832000,7.875,7.72,8.1103,7.52,ok,1797443.0,TCS,
1652918400,7.52,7.89,8.086,7.52,ok,881910.0,TCS,
1653004800,8.0,7.9,8.025,7.57,ok,661555.0,TCS,
1653264000,7.9,7.16,8.06,7.08,ok,764082.0,TCS,
1653350400,7.0,6.79,7.06,6.7518,ok,499312.0,TCS,
1653436800,6.75,7.13,7.25,6.75,ok,881504.0,TCS,
1653523200,7.29,7.49,7.65,7.26,ok,1062824.0,TCS,
1653609600,7.56,7.5,7.72,7.44,ok,472121.0,TCS,52.56064690026955
1653955200,7.64,7.7,7.99,7.595,ok,565202.0,TCS,54.98721227621485
1654041600,7.69,7.56,7.87,7.52,ok,516990.0,TCS,60.224089635854334
1654128000,7.57,7.86,7.91,7.561,ok,379238.0,TCS,61.413043478260875
1654214400,7.73,7.74,7.75,7.59,ok,410979.0,TCS,55.23255813953489
1654473600,7.78,7.7,7.78,7.5,ok,447819.0,TCS,55.55555555555556
1654560000,7.51,7.6,7.63,7.29,ok,673462.0,TCS,55.718475073313776
1654646400,7.66,7.74,7.9,7.6,ok,352980.0,TCS,50.32894736842106
1654732800,7.65,7.45,7.69,7.315,ok,436440.0,TCS,43.03797468354432
1654819200,7.4,7.41,7.48,7.255,ok,400416.0,TCS,42.31974921630094
1655078400,7.17,7.19,7.31,6.885,ok,642142.0,TCS,50.56179775280899
1655164800,7.2,7.19,7.26,7.0,ok,440434.0,TCS,58.69565217391303
1655251200,7.28,7.27,7.38,7.18,ok,411513.0,TCS,53.4313725490196
1655337600,7.21,6.77,7.21,6.7,ok,383494.0,TCS,33.48623853211009
1655424000,6.91,7.05,7.09,6.82,ok,802879.0,TCS,40.816326530612244
1655769600,7.14,7.08,7.35,7.05,ok,538912.0,TCS,36.403508771929836
1655856000,6.98,7.06,7.14,6.98,ok,263870.0,TCS,38.42592592592594
1655942400,7.04,7.19,7.27,7.015,ok,508884.0,TCS,33.165829145728665
1656028800,7.26,7.46,7.645,7.17,ok,640526.0,TCS,43.45794392523364
1656288000,7.39,7.25,7.5,7.23,ok,259033.0,TCS,40.25974025974026
1656374400,7.24,7.19,7.3752,7.11,ok,274454.0,TCS,40.969162995594736
1656460800,7.14,6.75,7.14,6.705,ok,763432.0,TCS,30.739299610894932
1656547200,6.62,6.23,6.65,6.19,ok,1017745.0,TCS,28.214285714285722
1656633600,6.25,6.58,6.67,6.19,ok,514641.0,TCS,36.65594855305465
1656979200,6.39,6.67,6.695,6.26,ok,289634.0,TCS,41.27516778523489
