t,o,c,h,l,s,v,Ticker
1652140800,1.44,1.35,1.49,1.35,ok,118526.0,NRSN
1652227200,1.34,1.24,1.36,1.24,ok,165250.0,NRSN
1652313600,1.25,1.29,1.32,1.23,ok,104169.0,NRSN
1652400000,1.305,1.27,1.4099,1.26,ok,159905.0,NRSN
1652659200,1.3,1.3,1.35,1.27,ok,139901.0,NRSN
1652745600,1.28,1.27,1.36,1.27,ok,99157.0,NRSN
1652832000,1.27,1.28,1.35,1.26,ok,102934.0,NRSN
1652918400,1.28,1.33,1.34,1.26,ok,140275.0,NRSN
1653004800,1.33,1.41,1.4499,1.3,ok,148122.0,NRSN
1653264000,1.34,1.36,1.46,1.27,ok,93075.0,NRSN
1653350400,1.37,1.31,1.38,1.3,ok,39144.0,NRSN
1653436800,1.32,1.34,1.36,1.28,ok,47663.0,NRSN
1653523200,1.33,1.38,1.4,1.3018,ok,66655.0,NRSN
1653609600,1.4107,1.49,1.52,1.38,ok,119956.0,NRSN
1653955200,1.57,1.41,1.5799,1.4,ok,95645.0,NRSN
1654041600,1.5296,1.4,1.55,1.355,ok,145649.0,NRSN
1654128000,1.43,1.42,1.45,1.38,ok,75645.0,NRSN
1654214400,1.41,1.44,1.48,1.38,ok,71489.0,NRSN
1654473600,1.45,1.45,1.54,1.42,ok,47134.0,NRSN
1654560000,1.405,1.48,1.49,1.37,ok,52565.0,NRSN
1654646400,1.5,1.52,1.54,1.48,ok,55261.0,NRSN
1654732800,1.49,1.47,1.52,1.46,ok,47960.0,NRSN
1654819200,1.4009,1.46,1.49,1.3801,ok,48435.0,NRSN
1655078400,1.37,1.56,1.57,1.3606,ok,180706.0,NRSN
1655164800,1.62,1.63,1.67,1.53,ok,164506.0,NRSN
1655251200,1.63,1.71,1.71,1.59,ok,167090.0,NRSN
1655337600,1.7,1.65,1.7,1.59,ok,80963.0,NRSN
1655424000,1.65,1.66,1.7,1.59,ok,114534.0,NRSN
1655769600,1.645,1.64,1.68,1.63,ok,78821.0,NRSN
1655856000,1.61,1.6656,1.69,1.5701,ok,51015.0,NRSN
1655942400,1.67,1.68,1.69,1.6255,ok,42458.0,NRSN
1656028800,1.68,1.7,1.74,1.65,ok,81545.0,NRSN
1656288000,2.6,2.5,3.3,2.365,ok,100114547.0,NRSN
1656374400,2.45,2.55,2.6456,2.32,ok,5322188.0,NRSN
1656460800,3.03,2.74,3.16,2.365,ok,39108578.0,NRSN
1656547200,3.98,3.38,4.47,3.33,ok,77891084.0,NRSN
1656633600,3.07,3.3,3.49,3.07,ok,5681495.0,NRSN
1656979200,3.15,3.09,3.28,3.0,ok,1059102.0,NRSN
1657065600,3.03,2.75,3.14,2.72,ok,920939.0,NRSN
1657152000,2.64,2.66,2.77,2.62,ok,586286.0,NRSN
1657238400,2.58,2.68,2.76,2.57,ok,418032.0,NRSN
1657497600,2.62,2.64,2.68,2.57,ok,297067.0,NRSN
1657584000,2.57,2.43,2.7,2.41,ok,216222.0,NRSN
1657670400,2.4,2.39,2.58,2.319,ok,285996.0,NRSN
1657756800,2.32,2.07,2.32,2.05,ok,344708.0,NRSN
1657843200,2.12,2.06,2.145,2.02,ok,165209.0,NRSN
1658102400,2.03,2.0,2.15,1.9505,ok,146891.0,NRSN
1658188800,1.97,2.02,2.07,1.97,ok,158696.0,NRSN
1658275200,1.98,1.92,2.055,1.8934,ok,161680.0,NRSN
1658361600,1.85,1.94,2.0,1.82,ok,692139.0,NRSN
1658448000,1.88,1.83,1.91,1.8,ok,170755.0,NRSN
1658707200,1.9,1.94,1.96,1.75,ok,197521.0,NRSN
1658793600,1.93,1.96,2.01,1.8501,ok,98802.0,NRSN
1658880000,2.0,1.99,2.0271,1.94,ok,103155.0,NRSN
1658966400,2.01,1.96,2.01,1.89,ok,137600.0,NRSN
1659052800,1.95,1.87,1.96,1.86,ok,66705.0,NRSN
1659312000,1.85,1.84,1.8799,1.802,ok,42093.0,NRSN
1659398400,1.88,1.88,1.9599,1.78,ok,204994.0,NRSN
1659484800,1.87,2.02,2.23,1.8525,ok,949845.0,NRSN
1659571200,2.05,1.97,2.09,1.86,ok,205166.0,NRSN
1659657600,1.88,1.9,1.97,1.88,ok,127330.0,NRSN
1659916800,1.85,1.92,2.05,1.83,ok,139680.0,NRSN
1660003200,1.93,1.87,1.96,1.85,ok,46856.0,NRSN
1660089600,1.88,1.9,1.93,1.82,ok,65315.0,NRSN
1660176000,2.0,2.01,2.0999,1.97,ok,121054.0,NRSN
1660262400,2.0038,2.13,2.178,2.0038,ok,48035.0,NRSN
1660521600,2.17,2.25,2.25,2.12,ok,92183.0,NRSN
1660608000,2.3,2.17,2.3,2.15,ok,57230.0,NRSN
1660694400,2.12,2.1,2.1696,2.03,ok,51387.0,NRSN
1660780800,2.13,1.97,2.13,1.92,ok,81488.0,NRSN
1660867200,1.96,1.96,1.96,1.92,ok,84516.0,NRSN
