t,o,c,h,l,s,v,Ticker,RSI
1652140800,2.69,2.6407,2.725,2.63,ok,5647.0,AWRE,
1652227200,2.66,2.58,2.73,2.58,ok,3058.0,AWRE,
1652313600,2.64,2.55,2.64,2.55,ok,7488.0,AWRE,
1652400000,2.56,2.67,2.67,2.54,ok,2650.0,AWRE,
1652659200,2.669,2.65,2.75,2.65,ok,14650.0,AWRE,
1652745600,2.66,2.75,2.77,2.5201,ok,9896.0,AWRE,
1652832000,2.7,2.78,2.78,2.66,ok,14066.0,AWRE,
1652918400,2.76,2.74,2.76,2.63,ok,12727.0,AWRE,
1653004800,2.74,2.64,2.74,2.6214,ok,10926.0,AWRE,
1653264000,2.7,2.72,2.75,2.6274,ok,6001.0,AWRE,
1653350400,2.73,2.69,2.73,2.65,ok,2798.0,AWRE,
1653436800,2.69,2.75,2.75,2.69,ok,2301.0,AWRE,
1653523200,2.73,2.735,2.76,2.7262,ok,7754.0,AWRE,
1653609600,2.77,2.7997,2.805,2.72,ok,7699.0,AWRE,60.59434968017059
1653955200,2.7996,2.72,2.8,2.72,ok,12842.0,AWRE,54.77653294783764
1654041600,2.79,2.72,2.82,2.72,ok,7735.0,AWRE,59.09799844034313
1654128000,2.7946,2.76,2.7946,2.73,ok,2053.0,AWRE,63.47190146266359
1654214400,2.77,2.71,2.78,2.71,ok,6054.0,AWRE,52.819283901888916
1654473600,2.86,2.67,2.86,2.6305,ok,3413.0,AWRE,51.37098985467508
1654560000,2.71,2.64,2.73,2.62,ok,5149.0,AWRE,41.65908401577191
1654646400,2.62,2.7,2.7,2.62,ok,5611.0,AWRE,44.19785320568612
1654732800,2.7,2.6,2.77,2.58,ok,29446.0,AWRE,40.65919402188416
1654819200,2.59,2.58,2.63,2.58,ok,12436.0,AWRE,45.5183746638781
1655078400,2.51,2.4,2.5276,2.36,ok,50214.0,AWRE,29.20457499350141
1655164800,2.41,2.35,2.45,2.291,ok,17975.0,AWRE,28.464656701292128
1655251200,2.33,2.4,2.57,2.33,ok,10089.0,AWRE,27.546830895560674
1655337600,2.47,2.31,2.47,2.31,ok,25009.0,AWRE,25.128745318352046
1655424000,2.25,2.16,2.3007,2.16,ok,45919.0,AWRE,15.962541236564817
1655769600,2.18,2.21,2.2778,2.18,ok,50144.0,AWRE,21.97802197802193
1655856000,2.2105,2.21,2.2868,2.2,ok,29545.0,AWRE,21.97802197802193
1655942400,2.18,2.28,2.3,2.18,ok,55609.0,AWRE,24.468085106382958
1656028800,2.3921,2.35,2.3921,2.29,ok,4984.0,AWRE,31.25
1656288000,2.34,2.34,2.3567,2.33,ok,4387.0,AWRE,32.258064516129025
1656374400,2.36,2.25,2.37,2.25,ok,4765.0,AWRE,30.303030303030283
1656460800,2.27,2.29,2.3,2.26,ok,24030.0,AWRE,28.865979381443296
1656547200,2.31,2.38,2.38,2.3099,ok,9853.0,AWRE,38.54166666666666
1656633600,2.3999,2.32,2.4,2.2801,ok,8371.0,AWRE,36.999999999999986
1656979200,2.2699,2.28,2.3143,2.2699,ok,8495.0,AWRE,43.02325581395348
1657065600,2.27,2.26,2.27,2.26,ok,11944.0,AWRE,44.57831325301203
1657152000,2.32,2.345,2.345,2.31,ok,8404.0,AWRE,46.82080924855493
1657238400,2.3,2.29,2.3001,2.29,ok,6839.0,AWRE,48.795180722891565
1657497600,2.31,2.3,2.31,2.29,ok,2339.0,AWRE,60.144927536231855
1657584000,2.27,2.27,2.29,2.27,ok,5261.0,AWRE,54.47761194029851
1657670400,2.28,2.29,2.29,2.25,ok,2674.0,AWRE,55.79710144927537
1657756800,2.2801,2.29,2.2922,2.24,ok,2982.0,AWRE,50.80645161290324
1657843200,2.21,2.34,2.35,2.21,ok,6277.0,AWRE,49.16666666666665
1658102400,2.3,2.315,2.35,2.3,ok,6850.0,AWRE,47.967479674796756
1658188800,2.32,2.32,2.35,2.32,ok,12666.0,AWRE,56.603773584905646
1658275200,2.32,2.32,2.325,2.3,ok,2826.0,AWRE,53.06122448979589
1658361600,2.32,2.38,2.38,2.24,ok,6425.0,AWRE,50.0
1658448000,2.33,2.32,2.4,2.28,ok,11282.0,AWRE,50.0
1658707200,2.4,2.28,2.4,2.25,ok,2918.0,AWRE,50.0
1658793600,2.3,2.28,2.35,2.27,ok,6291.0,AWRE,52.27272727272727
1658880000,2.3,2.12,2.3,2.06,ok,27766.0,AWRE,28.155339805825207
1658966400,2.1001,2.05,2.12,2.05,ok,15509.0,AWRE,27.358490566037688
1659052800,2.08,2.05,2.14,2.04,ok,8690.0,AWRE,25.96153846153844
1659312000,1.96,2.13,2.15,1.95,ok,57725.0,AWRE,37.71929824561402
1659398400,2.13,2.0999,2.14,2.07,ok,4245.0,AWRE,33.61489398379588
